date,time_start,hour,price_yuan_per_kwh,emergency_kwh,price_band
2025-02-11,00:00,0,0.4276,18.928,谷(<0.5)
2025-02-11,21:20,21,0.9371,9.7791,峰(0.9-1.25)
2025-02-11,21:30,21,0.9371,55.4883,峰(0.9-1.25)
2025-02-11,21:40,21,0.9871,28.4873,峰(0.9-1.25)
2025-02-11,21:50,21,0.7764,11.767,平(0.5-0.9)
2025-02-14,21:40,21,0.9871,0.4012,峰(0.9-1.25)
2025-02-15,08:20,8,1.0956,23.6288,峰(0.9-1.25)
2025-02-15,20:50,20,1.2226,159.9641,峰(0.9-1.25)
2025-02-15,21:00,21,0.9332,6.6142,峰(0.9-1.25)
2025-02-15,21:10,21,0.9068,11.8645,峰(0.9-1.25)
2025-02-15,21:20,21,0.9371,32.7226,峰(0.9-1.25)
2025-02-15,21:30,21,0.9371,18.3833,峰(0.9-1.25)
2025-02-15,21:40,21,0.9871,46.851,峰(0.9-1.25)
2025-02-15,21:50,21,0.7764,10.1816,平(0.5-0.9)
2025-02-15,23:00,23,0.4237,1.0203,谷(<0.5)
2025-02-15,23:10,23,0.4248,38.9255,谷(<0.5)
2025-02-15,23:20,23,0.424,41.8591,谷(<0.5)
2025-02-15,23:30,23,0.422,7.3463,谷(<0.5)
2025-02-15,23:40,23,0.424,3.4263,谷(<0.5)
2025-02-15,23:50,23,0.4271,0.1159,谷(<0.5)
2025-02-16,00:00,0,0.4276,10.4216,谷(<0.5)
2025-02-16,06:00,6,0.9099,20.9225,峰(0.9-1.25)
2025-02-16,06:10,6,0.9368,5.5993,峰(0.9-1.25)
2025-02-16,21:50,21,0.7764,50.8809,平(0.5-0.9)
2025-02-16,23:50,23,0.4271,30.6291,谷(<0.5)
2025-02-17,00:00,0,0.4276,2.2767,谷(<0.5)
2025-02-17,21:40,21,0.9871,34.1744,峰(0.9-1.25)
2025-02-17,21:50,21,0.7764,27.0103,平(0.5-0.9)
2025-02-18,00:00,0,0.4276,11.5999,谷(<0.5)
