hour,n,mean_kwh,std_kwh,q05,q25,q50,q75,q95,mae_kwh
0,2004,-5.1764,46.8701,-85.4748,-26.3421,-4.1145,17.1243,74.4196,32.8191
1,2004,-5.3486,44.7576,-76.3162,-27.3201,-4.8984,17.6162,69.5877,32.0735
2,2004,-5.1895,41.7795,-76.148,-27.0258,-4.3712,16.9267,64.0264,30.6616
3,2004,-5.3556,38.9845,-70.4004,-27.3787,-5.5335,16.3714,62.8417,29.4368
4,2004,-5.5649,37.2782,-64.5236,-28.3642,-6.5464,15.1144,58.792,28.5971
5,2004,-5.5053,37.599,-61.8914,-31.6893,-8.2243,17.0904,64.1388,30.1511
6,2004,-11.7683,59.6752,-106.8636,-56.3115,-12.7174,34.5751,83.5113,50.8235
7,2004,-9.205,83.1883,-140.5798,-78.731,-4.9503,56.8913,117.3702,70.7149
8,2004,-16.8993,102.5171,-174.7319,-98.9051,-21.5074,65.9589,147.975,88.0422
9,2004,-11.4127,121.1943,-214.0571,-96.807,-12.7031,73.4685,184.3196,98.612
10,2004,-11.1466,131.3501,-223.8633,-105.4115,-13.6163,84.696,197.7638,106.9035
11,2004,-13.1088,136.6012,-240.7494,-107.8113,-9.0894,84.2993,210.1598,110.4857
12,2004,-11.5319,141.6253,-241.7439,-113.4395,-9.5741,88.1964,211.7575,114.3293
13,2004,-12.741,135.2704,-223.278,-111.2691,-15.136,75.0166,204.0162,109.4533
14,2004,-12.764,122.2446,-202.8971,-99.1854,-19.8544,65.9277,185.3814,98.9947
15,2004,-13.399,105.8344,-167.8899,-92.1294,-23.6486,56.9609,161.2823,86.5995
16,2004,-13.6925,86.1305,-137.1789,-82.7855,-17.1435,46.7452,123.568,72.0272
17,2004,-17.2074,68.392,-130.7883,-64.058,-14.4092,26.5013,96.0893,55.6004
18,2004,-7.3957,49.1147,-90.4771,-33.1468,-4.8578,18.4117,75.3168,36.439
19,2004,-7.3662,52.8778,-100.3117,-32.6805,-4.33,19.9784,80.9552,38.6814
20,2004,-7.1817,54.0223,-105.7858,-32.5504,-4.9823,20.9752,84.2382,39.6363
21,2004,-7.8905,53.1951,-108.2588,-32.7346,-5.0159,20.6661,80.2631,39.0693
22,2004,-4.9403,50.4269,-91.6375,-29.122,-3.0987,20.3065,79.2768,36.0827
23,2004,-5.0362,48.0438,-90.3032,-28.3896,-4.3829,19.9705,76.0165,34.8012
