month,plan_kwh,plan_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,emergency_share_pct
2025-02,1915616.3952,1170755.1032,2134.7803,10038.4965,1180793.5996,0.111317
2025-03,1767034.4058,1057777.8794,21012.4234,128734.1494,1186512.0288,1.175161
2025-04,1486406.784,872486.9578,18523.9095,120921.8492,993408.8069,1.230881
2025-05,1476803.3074,891999.1946,17157.8698,99912.3545,991911.549,1.148482
2025-06,1947126.7372,1217134.6068,62272.7079,377404.6449,1594539.2517,3.099071
2025-07,2187905.4549,1395771.2812,32641.6095,196018.4476,1591789.7287,1.469981
2025-08,1907878.7278,1208672.2717,20398.2656,129449.2387,1338121.5105,1.057849
2025-09,1669720.0593,1043494.6249,35401.5516,216743.8778,1260238.5026,2.076189
2025-10,1747945.2521,1066847.7428,22983.0752,139884.1958,1206731.9386,1.297798
2025-11,2021630.7878,1251629.2502,8382.609,53711.1737,1305340.4239,0.412934
2025-12,2627682.9968,1656487.5405,26784.3977,149552.753,1806040.2935,1.009031
