date,terminal_value_factor,terminal_value_yuan_per_kwh,natural_day_cost_yuan,soc_end_kwh
2025-03-20,0.0,0.0,41559.5557,1376.159
2025-03-20,1.0,0.33417,40877.5119,1398.2314
2025-03-20,2.0,0.66834,44767.8466,9729.6508
2025-06-21,0.0,0.0,26203.1277,4478.115
2025-06-21,1.0,0.33417,26273.6272,4939.5067
2025-06-21,2.0,0.66834,29789.0753,10800.0
2025-09-23,0.0,0.0,67213.4475,1200.0
2025-09-23,1.0,0.33417,66234.5121,1200.0
2025-09-23,2.0,0.66834,69139.4698,8416.3726
2025-12-21,0.0,0.0,61421.7405,1276.9105
2025-12-21,1.0,0.33417,61533.9345,1347.3186
2025-12-21,2.0,0.66834,65289.3585,9359.0988
