date,time_start,soc_start_kwh,soc_end_kwh,touch_lower,touch_upper
2025-02-01,00:00,1903.9513,1902.6421,0,0
2025-02-01,00:10,1902.6421,2651.0519,0,0
2025-02-01,00:20,2651.0519,3401.0519,0,0
2025-02-01,00:30,3401.0519,4151.0519,0,0
2025-02-01,00:40,4151.0519,4901.0519,0,0
2025-02-01,00:50,4901.0519,5651.0519,0,0
2025-02-01,01:00,5651.0519,6401.0519,0,0
2025-02-01,01:10,6401.0519,6477.5353,0,0
2025-02-01,01:20,6477.5353,7202.3713,0,0
2025-02-01,01:30,7202.3713,7926.776,0,0
2025-02-01,01:40,7926.776,7938.4371,0,0
2025-02-01,01:50,7938.4371,8010.3268,0,0
2025-02-01,02:00,8010.3268,8467.0363,0,0
2025-02-01,02:10,8467.0363,9217.0363,0,0
2025-02-01,02:20,9217.0363,9246.5198,0,0
2025-02-01,02:30,9246.5198,9273.0571,0,0
2025-02-01,02:40,9273.0571,9308.3046,0,0
2025-02-01,02:50,9308.3046,9368.28,0,0
2025-02-01,03:00,9368.28,9451.5007,0,0
2025-02-01,03:10,9451.5007,9486.1766,0,0
2025-02-01,03:20,9486.1766,9511.4472,0,0
2025-02-01,03:30,9511.4472,9534.4714,0,0
2025-02-01,03:40,9534.4714,9550.3671,0,0
2025-02-01,03:50,9550.3671,9580.5543,0,0
2025-02-01,04:00,9580.5543,9667.3593,0,0
2025-02-01,04:10,9667.3593,9721.5936,0,0
2025-02-01,04:20,9721.5936,9746.2074,0,0
2025-02-01,04:30,9746.2074,9807.6104,0,0
2025-02-01,04:40,9807.6104,9872.0442,0,0
2025-02-01,04:50,9872.0442,9957.3915,0,0
2025-02-01,05:00,9957.3915,10004.892,0,0
2025-02-01,05:10,10004.892,10081.4342,0,0
2025-02-01,05:20,10081.4342,10138.9744,0,0
2025-02-01,05:30,10138.9744,10800.0,0,1
2025-02-01,05:40,10800.0,10800.0,0,1
2025-02-01,05:50,10800.0,10752.5417,0,1
2025-02-01,06:00,10752.5417,10184.7824,0,0
2025-02-01,06:10,10184.7824,9590.13,0,0
2025-02-01,06:20,9590.13,8997.513,0,0
2025-02-01,06:30,8997.513,8436.9352,0,0
2025-02-01,06:40,8436.9352,7859.6533,0,0
2025-02-01,06:50,7859.6533,7246.8977,0,0
2025-02-01,07:00,7246.8977,6633.518,0,0
2025-02-01,07:10,6633.518,6061.7869,0,0
2025-02-01,07:20,6061.7869,5564.1107,0,0
2025-02-01,07:30,5564.1107,5131.4172,0,0
2025-02-01,07:40,5131.4172,4711.8019,0,0
2025-02-01,07:50,4711.8019,4310.5115,0,0
2025-02-01,08:00,4310.5115,3977.2638,0,0
2025-02-01,08:10,3977.2638,3752.568,0,0
2025-02-01,08:20,3752.568,3608.354,0,0
2025-02-01,08:30,3608.354,3512.4823,0,0
2025-02-01,08:40,3512.4823,3472.5165,0,0
2025-02-01,08:50,3472.5165,3403.1233,0,0
2025-02-01,09:00,3403.1233,3275.1492,0,0
2025-02-01,09:10,3275.1492,3224.2335,0,0
2025-02-01,09:20,3224.2335,3252.458,0,0
2025-02-01,09:30,3252.458,3307.9887,0,0
2025-02-01,09:40,3307.9887,3402.586,0,0
2025-02-01,09:50,3402.586,3555.7635,0,0
2025-02-01,10:00,3555.7635,3749.6509,0,0
2025-02-01,10:10,3749.6509,3930.0268,0,0
2025-02-01,10:20,3930.0268,4134.2549,0,0
2025-02-01,10:30,4134.2549,4397.2578,0,0
2025-02-01,10:40,4397.2578,4668.2368,0,0
