series,bin_left,bin_right,count
soc,1200.0,1440.0,3991
soc,1440.0,1680.0,1749
soc,1680.0,1920.0,1132
soc,1920.0,2160.0,928
soc,2160.0,2400.0,953
soc,2400.0,2640.0,849
soc,2640.0,2880.0,865
soc,2880.0,3120.0,918
soc,3120.0,3360.0,922
soc,3360.0,3600.0,1005
soc,3600.0,3840.0,910
soc,3840.0,4080.0,782
soc,4080.0,4320.0,727
soc,4320.0,4560.0,716
soc,4560.0,4800.0,679
soc,4800.0,5040.0,794
soc,5040.0,5280.0,805
soc,5280.0,5520.0,762
soc,5520.0,5760.0,748
soc,5760.0,6000.0,720
soc,6000.0,6240.0,788
soc,6240.0,6480.0,739
soc,6480.0,6720.0,627
soc,6720.0,6960.0,685
soc,6960.0,7200.0,774
soc,7200.0,7440.0,750
soc,7440.0,7680.0,746
soc,7680.0,7920.0,806
soc,7920.0,8160.0,809
soc,8160.0,8400.0,824
soc,8400.0,8640.0,785
soc,8640.0,8880.0,1415
soc,8880.0,9120.0,1776
soc,9120.0,9360.0,1502
soc,9360.0,9600.0,1131
soc,9600.0,9840.0,1035
soc,9840.0,10080.0,993
soc,10080.0,10320.0,1009
soc,10320.0,10560.0,1247
soc,10560.0,10800.0,8700
charge,0.0,20.8333,29314
charge,20.8333,41.6667,3474
charge,41.6667,62.5,2401
charge,62.5,83.3333,1461
charge,83.3333,104.1667,973
charge,104.1667,125.0,594
charge,125.0,145.8333,489
charge,145.8333,166.6667,374
charge,166.6667,187.5,278
charge,187.5,208.3333,281
charge,208.3333,229.1667,242
charge,229.1667,250.0,241
charge,250.0,270.8333,226
charge,270.8333,291.6667,245
charge,291.6667,312.5,202
charge,312.5,333.3333,208
charge,333.3333,354.1667,184
charge,354.1667,375.0,165
charge,375.0,395.8333,155
charge,395.8333,416.6667,129
charge,416.6667,437.5,150
charge,437.5,458.3333,137
charge,458.3333,479.1667,122
charge,479.1667,500.0,126
charge,500.0,520.8333,101
charge,520.8333,541.6667,108
charge,541.6667,562.5,120
charge,562.5,583.3333,93
charge,583.3333,604.1667,93
charge,604.1667,625.0,98
charge,625.0,645.8333,121
charge,645.8333,666.6667,119
charge,666.6667,687.5,155
charge,687.5,708.3333,153
charge,708.3333,729.1667,171
charge,729.1667,750.0,207
charge,750.0,770.8333,319
charge,770.8333,791.6667,510
charge,791.6667,812.5,773
charge,812.5,833.3333,2784
discharge,0.0,20.8333,33381
discharge,20.8333,41.6667,2391
discharge,41.6667,62.5,1282
discharge,62.5,83.3333,735
discharge,83.3333,104.1667,463
discharge,104.1667,125.0,410
discharge,125.0,145.8333,286
discharge,145.8333,166.6667,283
discharge,166.6667,187.5,272
discharge,187.5,208.3333,239
discharge,208.3333,229.1667,220
discharge,229.1667,250.0,257
discharge,250.0,270.8333,239
discharge,270.8333,291.6667,245
discharge,291.6667,312.5,245
discharge,312.5,333.3333,216
discharge,333.3333,354.1667,243
discharge,354.1667,375.0,221
discharge,375.0,395.8333,209
discharge,395.8333,416.6667,210
discharge,416.6667,437.5,371
discharge,437.5,458.3333,579
discharge,458.3333,479.1667,443
discharge,479.1667,500.0,280
discharge,500.0,520.8333,217
discharge,520.8333,541.6667,230
discharge,541.6667,562.5,166
discharge,562.5,583.3333,141
discharge,583.3333,604.1667,118
discharge,604.1667,625.0,140
discharge,625.0,645.8333,161
discharge,645.8333,666.6667,155
discharge,666.6667,687.5,208
discharge,687.5,708.3333,473
discharge,708.3333,729.1667,730
discharge,729.1667,750.0,575
discharge,750.0,770.8333,312
discharge,770.8333,791.6667,281
discharge,791.6667,812.5,247
discharge,812.5,833.3333,222
