表,日期,时间段,购电量_kWh,充电量_kWh,放电量_kWh,购电费_元,口径
表1,2025-03-20,10:00-10:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-03-20,12:00-12:10,763.0131,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-03-20,14:00-14:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-03-20,16:00-16:10,437.612,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-03-20,18:00-18:10,695.6392,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-03-20,20:00-20:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-03-20,全天购电量,66474.5817,,,,模板行口径（144项计划求和）
表1,2025-03-20,全天购电费,,,,40772.6935,模板行口径（按附件1 电价×各列计划量）
表1_对照,2025-03-20,自然日全天购电量,66630.7629,,,,自然日 00:00-24:00；勿与模板行混用
表1_对照,2025-03-20,自然日全天购电费,,,,40839.4766,自然日 00:00-24:00
表2,2025-03-20,0:00-4:00,,7793.8399,182.7681,,自然日；充放电量为交流母线侧口径
表2,2025-03-20,4:00-8:00,,1818.9283,4437.5829,,自然日；充放电量为交流母线侧口径
表2,2025-03-20,8:00-12:00,,3739.8722,3265.5568,,自然日；充放电量为交流母线侧口径
表2,2025-03-20,12:00-16:00,,6405.1282,294.0908,,自然日；充放电量为交流母线侧口径
表2,2025-03-20,16:00-20:00,,159.3179,4997.9471,,自然日；充放电量为交流母线侧口径
表2,2025-03-20,20:00-24:00,,409.8299,3854.2153,,自然日；充放电量为交流母线侧口径
表2,2025-03-20,0:00储电量,,2028.6299,,,自然日
表2,2025-03-20,24:00储电量,,1398.2314,,,自然日
表3,2025-03-20,21:50-22:00,9.7979,,,,自然日；紧急购电价=5×交易时刻电价
表3,2025-03-20,当日紧急购电合计,9.7979,,,38.0353,自然日
表1,2025-06-21,10:00-10:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-06-21,12:00-12:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-06-21,14:00-14:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-06-21,16:00-16:10,301.1593,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-06-21,18:00-18:10,418.6107,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-06-21,20:00-20:10,0.0,,,,模板行：当日0:00发布、覆盖00:10至次日00:00的144项计划
表1,2025-06-21,全天购电量,42769.8742,,,,模板行口径（144项计划求和）
表1,2025-06-21,全天购电费,,,,26344.0861,模板行口径（按附件1 电价×各列计划量）
表1_对照,2025-06-21,自然日全天购电量,42605.0967,,,,自然日 00:00-24:00；勿与模板行混用
