date,plan_total_kwh,plan_cost_yuan_template,final_contract_total_kwh,adjust_cost_yuan_template,emergency_kwh,emergency_cost_yuan,total_cost_yuan,curtail_kwh,adjust_up_kwh,adjust_down_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan_natural,adjust_cost_yuan_natural
2025-02-01,41850.706089897576,20896.572740548483,40558.453112974355,452.40496619039976,0.0,0.0,21277.93118977094,2486.809150196399,0.0,1292.2529769232235,9284.910908021775,9223.089057817628,20825.526223580542,452.4049661903997
2025-02-02,86592.28041322273,52386.457995982855,83831.84484249548,984.3201853099484,2.9523733186102614,18.047858096664527,53393.78325550245,989.0849503309901,0.0,2760.4355707272434,9223.089057817628,9290.676359043571,52391.41521209584,984.3201853099486
2025-02-03,86622.56017343038,52928.234944840675,85085.3290137826,1229.5427158822044,97.33099479839598,668.3455588209929,54829.10804287725,595.8239648089955,289.6984111855242,1826.9295708332966,9290.676359043571,9154.676923080167,52931.21976817405,1229.5427158822042
2025-02-04,87199.10102756007,53340.128692783095,86558.926375327,2968.4202613216894,123.10257883077286,676.4476458713899,56983.998040712795,997.3149223393683,1173.187095492257,1813.3617477253256,9154.676923080167,9043.799548291256,53339.13013351971,2968.4202613216894
2025-02-05,84635.34815802265,52946.18255163095,85464.17077098275,1028.658441055445,84.13509250809233,427.36342536382466,54408.83405755119,227.39690220688635,828.8226129600946,0.0,9043.799548291256,9053.069040353526,52952.812191131925,1028.658441055445
2025-02-06,86508.74021272373,52337.367782954825,85049.91085690305,2855.845378302086,50.0910586407914,291.64865871503685,55542.61682364984,429.3918501739956,1018.3298215570493,2477.1591773777373,9053.069040353526,8996.014497232674,52395.12278663272,2855.8453783020864
2025-02-07,39504.41073641835,19670.395597375995,38691.15399215235,346.95050155338856,383.942239801259,2166.0398012955284,22188.57357499467,3449.161643224648,46.70236959670798,859.9591138627134,8996.014497232674,9028.458666144805,19675.583272145755,346.95050155338856
2025-02-08,36404.13727829812,18578.12714661885,36990.98373004943,1022.7128055466821,144.3919791383371,969.7623817638682,20507.114435538675,1663.1175576672927,586.846451751316,0.0,9028.458666144805,9149.456698906411,18514.639248228126,1022.7128055466821
2025-02-09,81339.07751528965,50522.1448480311,84089.10894083408,3181.872346339699,69.15589069678705,332.24563103679066,54031.73753855795,281.6768538332659,2750.031425544422,0.0,9149.456698906411,8962.498369031618,50517.61956118146,3181.8723463396987
2025-02-10,80439.96237706405,48605.09491707953,78700.01716941463,1381.0597407253408,131.97197215563602,603.8535683757636,50594.256545755954,419.93343984656246,432.42387267813314,2172.369080327542,8962.498369031618,8883.870294307608,48609.343236654844,1381.0597407253408
2025-02-11,80203.9872687197,48785.46972493022,79674.28259579015,1563.6639640864898,290.5987893705493,1700.4643141421093,52055.68679687034,179.45748826006968,626.0836219044428,1155.7882948339932,8883.870294307608,8966.313943532385,48791.55851864174,1563.6639640864898
2025-02-12,79855.41148777997,48575.4425651856,79749.1241319153,2381.9089368427794,196.3795666272158,1177.0285023065835,52133.271532316925,246.90887564854324,1052.8396860313765,1159.1270418960535,8966.313943532385,8987.52264730764,48574.33409316756,2381.9089368427794
2025-02-13,77753.46565664637,47274.38062919105,76819.77002857164,769.1055547032054,116.18569608526983,624.3362504840579,48727.01686346412,1452.3561734223572,263.6771363085112,1197.3727643832467,8987.52264730764,9028.572938963247,47333.57505827686,769.1055547032053
2025-02-14,35799.66152857635,18259.571872337598,36377.510072305515,856.5448159883333,96.32871938729915,534.7414629022709,19656.339205349897,2939.7903597258883,577.8485437291652,0.0,9028.572938963247,9046.24060119269,18265.05292645929,856.5448159883333
2025-02-15,35173.20067816411,18050.247861855925,35785.53158727526,1017.1478764581906,44.30914093865175,197.79627920636034,19207.457824114394,2855.694527387399,612.3309091111471,0.0,9046.24060119269,8926.189596774302,17992.513668449843,1017.1478764581905
2025-02-16,78518.01311493221,48072.675922372786,79365.30178756107,2501.0743273256076,373.04769292859334,1733.2379433956753,52291.054962091446,8.321572103255903,1317.1092767926407,469.8206041637871,8926.189596774302,8949.84822605225,48056.742691370164,2501.074327325607
2025-02-17,78687.2480883123,46097.08681195689,75258.95398296142,2256.734964444924,80.21321656184264,463.92589933994793,48820.73115131067,227.8092335177298,625.4008497878546,4053.6949551387397,8949.84822605225,8949.364532518557,46100.0702875258,2256.7349644449237
2025-02-18,74781.14480849294,45880.36047113317,76482.43953539409,3058.188275399568,0.0,0.0,48948.27927750498,98.73310932723105,1809.2183050148656,107.92357811371392,8949.364532518557,9203.72572069611,45890.091002105415,3058.188275399568
2025-02-19,74250.03847747804,45643.860820907066,76878.68685085092,3190.842052701064,165.25305704566972,808.058941761522,49642.17587146654,160.2831371891749,2628.648373372875,0.0,9203.72572069611,8806.188637810143,45643.27487700396,3190.842052701064
2025-02-20,76258.21858508495,46739.879681241444,76504.60536724496,541.049620226295,11.058256846220274,51.796875067695765,47390.84343846076,945.0309953369986,289.2559830813217,42.86920092132368,8806.188637810143,9110.24221529757,46797.99694316677,541.0496202262949
2025-02-21,34667.32032195518,17713.981250473727,34964.11947933672,505.64317381758735,0.0,0.0,18223.863552135062,5580.676455587318,296.79915738153153,0.0,9110.24221529757,9191.788552383165,17718.220378317474,505.64317381758735
