hour,emergency_intervals,emergency_kwh,curtail_intervals,curtail_kwh,charge_kwh,discharge_kwh,price_yuan_per_kwh,net_load_kwh,net_load_kw
0,0,0.0,96,12483.563216351982,266335.72874930274,22539.355924799125,0.4276,1152035.0266666322,6912210.159999793
1,0,0.0,72,3792.6042151747406,26175.48863127989,29877.224928411553,0.4285,1162214.8345333387,6973289.0072000325
2,0,0.0,84,3861.141776206389,22912.703258344027,51450.235626086345,0.4311,1174138.6289666553,7044831.773799933
3,0,0.0,73,2899.2415573975413,18815.098279274862,96834.99360765732,0.4357,1183304.9750666586,7099829.850399951
4,0,0.0,73,2258.7466952967206,19793.161910186216,201636.88425647197,0.4378,1192180.418299997,7153082.509799982
5,7,1770.744874461402,245,32991.79179874908,137807.53725233243,167749.21402237602,0.4395,1191801.400666671,7150808.404000027
6,12,139.73941876683307,1,41.06145325976513,3919.1845544366965,912869.8755336892,0.9099,1153172.1185333421,6919032.711200053
7,10,274.2468233291361,17,528.2351465316806,104579.14795458846,274188.5434260983,0.8334,749822.0452333359,4498932.271400016
8,20,2952.3458949138517,0,0.0,100722.85086666666,616931.5580721057,1.1617,502261.9744666778,3013571.846800067
9,46,4000.550976415122,0,0.0,209016.78761195065,212020.60235289147,1.0360,14827.718466666298,88966.3107999978
10,45,3402.248494405494,19,5267.976924978161,451168.70725189394,56498.5381084053,0.9977,-369941.3670333338,-2219648.202200003
11,1,44.664166666666915,417,145337.87170083885,1104206.7787628465,19.37246250030273,0.5025,-589361.5871000033,-3536169.52260002
12,0,0.0,733,311532.3269227277,1028029.4608168678,0.0,0.4432,-651233.9125333182,-3907403.475199909
13,0,0.0,698,319807.1992141616,206464.99065727292,19348.68080033817,0.8279,-371901.5184000021,-2231409.1104000127
14,0,0.0,767,240492.14307429382,33151.46445903946,159922.87534679793,0.9754,15195.931199999919,91175.58719999951
15,0,0.0,887,119610.57004905524,248324.6561909989,14253.811556965136,0.6694,545369.5620000061,3272217.3720000368
16,0,0.0,549,27050.525387958987,17669.955960499337,30248.387836005102,0.8055,1130420.712099995,6782524.27259997
17,0,0.0,470,19953.129845470783,14849.87453475178,42831.607856549526,0.9264,1483473.057400006,8900838.344400037
18,0,0.0,156,5315.453287803581,8603.526509499376,244268.08309692985,1.2313,1374036.927566687,8244221.565400123
19,19,245.07934211943223,0,0.0,0.0,1347101.819567654,1.3466,1422755.2753333389,8536531.652000034
20,147,16411.322166444417,0,0.0,3439.548935171027,1089896.3145625836,1.3482,1433775.8780999898,8602655.26859994
21,309,9496.805675197975,0,0.0,33274.88729049917,16015.743505783255,0.9332,1378734.097600004,8272404.585600024
22,0,0.0,148,2631.107889467052,1317812.2081027152,530.0905443332135,0.4209,1129508.2519333349,6777049.511600009
23,0,0.0,85,2930.917160787306,1544779.1306553183,0.0,0.4237,1144428.3436666757,6866570.062000055
