month,days,plan_kwh,final_contract_kwh,plan_cost_yuan,adjust_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,curtail_kwh,adjust_up_kwh,adjust_down_kwh
2025-02,28,1867688.0703411773,1867166.066681621,1109234.2439018767,43208.35511047591,3181.3759477964277,16918.33349867249,1169360.932511025,40070.429243159924,23823.413566508258,24345.417226064157
2025-03,31,1741369.108258111,1761291.4773997718,1019535.9854229845,58573.78060452714,1990.663491367836,11025.952059706426,1089135.7180872185,113825.63098296282,40456.46823236308,20534.099090701835
2025-04,30,1449072.2732185833,1488651.1678879615,842894.2074039844,48725.91497659229,380.9679637137932,1868.5195027064447,893488.641883283,156014.45240704477,45338.241700954735,5759.347031576906
2025-05,31,1449738.9515122816,1477785.0394161113,847402.5301044208,58198.85661161349,11174.588751670364,69245.61472236532,974847.0014383995,186713.1904559391,42283.94278094968,14237.854877120084
2025-06,30,1902742.5194411098,1940127.9208543436,1143135.8814301577,107343.71275492951,4366.272380532177,23393.562478183412,1273873.156663271,78432.49862922744,69019.95954476965,31634.55813153586
2025-07,31,2122247.972744859,2161523.625720614,1287150.7251532208,152206.05736380577,3069.0126850192864,11904.031682190429,1451260.814199217,102161.97973703421,102159.90867801144,62884.255702256385
2025-08,31,1823826.6655805125,1882712.0982101671,1137275.7702749555,75506.81660651145,2299.706349551809,12115.743638485344,1224898.3305199523,181495.3606007853,63895.764520508266,5010.3318908534875
2025-09,30,1606336.7314126464,1662127.6952792301,977072.0793780223,111980.8704722435,4916.640318852937,26013.54842628554,1115066.4982765515,169536.1581930596,82697.63487313228,26906.671006547862
2025-10,31,1740356.8528997805,1738327.5656228112,1029681.6421915948,55226.4722506215,3470.8333957013556,19600.27354513512,1104508.3879873515,147501.40782087337,31619.8220740973,33649.109351066545
2025-11,30,1944793.6111801344,1959579.701719507,1176527.4755878646,34185.3442436402,1087.3879270970542,6283.255355469847,1216996.0751869746,46883.92926246551,24228.9657182601,9442.875178887296
2025-12,31,2505833.2878771536,2534663.111244389,1544189.1755201262,88468.715106273,2800.2986214172715,16589.43812106773,1649247.3287474671,36150.56998395902,59622.007579239325,30792.184212003966
