date,soc_start_kwh
2025-02-01,9284.9109
2025-02-02,9223.0891
2025-02-03,9290.6764
2025-02-04,9154.6769
2025-02-05,9043.7995
2025-02-06,9053.0690
2025-02-07,8996.0145
2025-02-08,9028.4587
2025-02-09,9149.4567
2025-02-10,8962.4984
2025-02-11,8883.8703
2025-02-12,8966.3139
2025-02-13,8987.5226
2025-02-14,9028.5729
2025-02-15,9046.2406
2025-02-16,8926.1896
2025-02-17,8949.8482
2025-02-18,8949.3645
2025-02-19,9203.7257
2025-02-20,8806.1886
2025-02-21,9110.2422
2025-02-22,9191.7886
2025-02-23,9310.4016
2025-02-24,9011.1126
2025-02-25,9107.1570
2025-02-26,9075.9249
2025-02-27,9397.1156
2025-02-28,9161.9959
2025-03-01,9332.8801
2025-03-02,9059.0348
2025-03-03,9017.7801
2025-03-04,9021.5304
2025-03-05,8880.4013
2025-03-06,9036.0798
2025-03-07,8837.2851
2025-03-08,9030.8294
2025-03-09,9249.3042
2025-03-10,9046.0705
2025-03-11,9012.5628
2025-03-12,9176.4476
2025-03-13,8963.6923
2025-03-14,8952.9495
2025-03-15,9318.8420
2025-03-16,8959.6928
2025-03-17,9633.1155
2025-03-18,9701.5479
2025-03-19,9470.6031
2025-03-20,9630.0966
2025-03-21,9462.9911
2025-03-22,9327.3030
2025-03-23,9840.2866
2025-03-24,9607.7377
2025-03-25,9829.1629
2025-03-26,9521.8993
2025-03-27,9705.8224
2025-03-28,9721.1252
2025-03-29,9709.5549
2025-03-30,9744.6092
2025-03-31,9849.8006
2025-04-01,9934.1801
2025-04-02,9660.1613
2025-04-03,9587.4027
2025-04-04,9652.4024
2025-04-05,9618.5724
2025-04-06,9634.8792
2025-04-07,9364.3037
2025-04-08,9353.5235
2025-04-09,9142.4138
2025-04-10,9192.4125
2025-04-11,9336.6913
2025-04-12,9283.7118
2025-04-13,9305.0575
2025-04-14,9244.4264
2025-04-15,9210.1970
2025-04-16,9257.2432
2025-04-17,9198.7660
2025-04-18,9337.7056
2025-04-19,9494.0572
2025-04-20,9392.7368
2025-04-21,9465.8445
2025-04-22,9081.9360
2025-04-23,9282.2506
2025-04-24,9556.4245
2025-04-25,9218.3864
2025-04-26,9058.8008
2025-04-27,9034.3269
2025-04-28,9120.0044
2025-04-29,9249.2317
2025-04-30,9369.4821
2025-05-01,9239.3793
2025-05-02,8302.8998
2025-05-03,8552.8740
2025-05-04,8781.9701
2025-05-05,8656.4538
2025-05-06,8731.4771
2025-05-07,8559.0202
2025-05-08,8785.7169
2025-05-09,8956.4099
2025-05-10,9227.4507
2025-05-11,8771.8951
2025-05-12,8936.0783
2025-05-13,9204.4896
2025-05-14,9237.4003
