表,日期,时间段/项目,值1/kWh 或 元,值2/kWh,口径,来源
表,日期,时间段/项目,计划购电量/kWh,最终调整购电量/kWh,口径,来源
表1,2025-03-20,10:00-10:10,0.0000,0.0000,模板行 00:10→次日00:10,payload days[*].plan_kwh/adjusted_kwh
表1,2025-03-20,12:00-12:10,485.7062,531.0635,模板行 00:10→次日00:10,payload days[*].plan_kwh/adjusted_kwh
表1,2025-03-20,14:00-14:10,0.0000,0.0000,模板行 00:10→次日00:10,payload days[*].plan_kwh/adjusted_kwh
表1,2025-03-20,16:00-16:10,492.2029,492.2029,模板行 00:10→次日00:10,payload days[*].plan_kwh/adjusted_kwh
表1,2025-03-20,18:00-18:10,693.2730,713.7841,模板行 00:10→次日00:10,payload days[*].plan_kwh/adjusted_kwh
表1,2025-03-20,20:00-20:10,0.0000,0.0000,模板行 00:10→次日00:10,payload days[*].plan_kwh/adjusted_kwh
表1,2025-03-20,全天购电量,64679.0493,66175.1886,模板行,payload
表1,2025-03-20,全天购电费/元,39374.5987,2216.6183,模板行,payload
表1,2025-03-20,（自然日口径）全天购电费/元,39443.4379,2216.6183,自然日 00:00–24:00,payload
表2,2025-03-20,0:00-4:00,911.7578,414.9631,自然日（充电量/放电量）,payload storage_blocks
表2,2025-03-20,4:00-8:00,861.0398,5347.9235,自然日（充电量/放电量）,payload storage_blocks
表2,2025-03-20,8:00-12:00,4024.0372,3260.1663,自然日（充电量/放电量）,payload storage_blocks
表2,2025-03-20,12:00-16:00,6210.8488,254.7228,自然日（充电量/放电量）,payload storage_blocks
表2,2025-03-20,16:00-20:00,219.1014,4491.0437,自然日（充电量/放电量）,payload storage_blocks
表2,2025-03-20,20:00-24:00,8997.3820,3573.1507,自然日（充电量/放电量）,payload storage_blocks
表2,2025-03-20,0:00 储电量,9630.0966,,自然日,payload
表2,2025-03-20,24:00 储电量,9462.9911,,自然日,payload
表3,2025-03-20,10:00-10:10,5.3905,,自然日,payload emergency_segments
表3,2025-03-20,当日紧急购电费/元,26.8906,,自然日,payload
—,2025-03-20,当日总费用/元,41686.9468,,自然日,payload
