hour,up_kwh_42,down_kwh_42,up_kwh_43,down_kwh_43
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,41181.48464368753,4782.400153064302
7,0.0,0.0,111376.27938929213,11913.934739794808
8,0.0,0.0,1633.6392894348203,191.08004180650858
9,0.0,0.0,2913.7912852529544,2865.383950538103
10,0.0,0.0,8714.242257331598,1160.5885141869703
11,0.0,0.0,39796.91490452635,54599.23939724255
12,0.0,0.0,88518.48754556193,132395.11864055146
13,0.0,0.0,3350.1434751127567,5074.867289176939
14,0.0,0.0,1360.7841337605541,895.9384073423857
15,0.0,0.0,71245.22022896018,41605.31567862606
16,0.0,0.0,23575.000034528384,15209.125765063545
17,0.0,0.0,15222.453236125923,7950.0362528871265
18,0.0,0.0,90903.0429710738,4547.6712207934215
19,0.0,0.0,24076.849404580258,710.0294017902081
20,0.0,0.0,34858.01724159721,1129.9621597125022
21,0.0,0.0,23792.139240533674,2090.7161000777555
22,0.0,0.0,4404.123607359013,7520.22867314253
23,0.0,0.0,4008.308664615368,7122.675380801216
