bin_lo,bin_hi,charge_count_42,charge_count_43,discharge_count_42,discharge_count_43
0.0000,25.0000,4965,5083,4430,5350
25.0000,50.0000,3600,3222,2494,3115
50.0000,75.0000,2244,1788,1190,1355
75.0000,100.0000,1271,1038,600,605
100.0000,125.0000,768,684,499,397
125.0000,150.0000,579,564,366,301
150.0000,175.0000,440,451,332,297
175.0000,200.0000,349,335,316,301
200.0000,225.0000,322,299,261,276
225.0000,250.0000,280,309,299,302
250.0000,275.0000,275,288,282,280
275.0000,300.0000,270,280,305,299
300.0000,325.0000,261,269,277,276
325.0000,350.0000,223,249,271,293
350.0000,375.0000,196,223,258,288
375.0000,400.0000,168,179,228,255
400.0000,425.0000,166,195,308,368
425.0000,450.0000,152,182,586,764
450.0000,475.0000,142,164,599,748
475.0000,500.0000,142,162,350,384
500.0000,525.0000,119,146,255,269
525.0000,550.0000,143,157,242,268
550.0000,575.0000,133,133,181,215
575.0000,600.0000,120,122,151,170
600.0000,625.0000,108,105,176,203
625.0000,650.0000,140,147,189,188
650.0000,675.0000,159,194,213,235
675.0000,700.0000,170,206,423,459
700.0000,725.0000,197,320,809,884
725.0000,750.0000,238,422,682,759
750.0000,775.0000,407,804,347,423
775.0000,800.0000,757,1360,332,324
800.0000,825.0000,1060,1310,207,181
825.0000,850.0000,2143,1241,129,65
