variant,date,plan_total_kwh,plan_cost_yuan_template,final_contract_total_kwh,adjust_cost_yuan_template,emergency_kwh,emergency_cost_yuan,total_cost_yuan,curtail_kwh,adjust_up_kwh,adjust_down_kwh,soc_start_kwh,soc_end_kwh,natural_day_plan_cost_yuan,natural_day_adjust_cost_yuan
2,2025-02-01,44768.305074995515,19224.03507911155,44768.305074995515,0.0,0.0,0.0,19117.537882111552,6365.005659558395,0.0,0.0,1922.8605438888887,2413.58852610823,19117.537882111552,0.0
2,2025-02-02,91362.1909114929,65155.25218484953,91362.1909114929,0.0,0.0,0.0,65133.0451595162,9098.185617062762,0.0,0.0,2413.58852610823,2538.6883986111097,65133.0451595162,0.0
2,2025-02-03,89609.7508815967,64670.33949525649,89609.7508815967,0.0,0.0,0.0,64699.582914089835,5997.898719842731,0.0,0.0,2538.6883986111097,2124.4271515740757,64699.582914089835,0.0
2,2025-02-04,87127.01156585758,62180.63363216819,87127.01156585758,0.0,0.0,0.0,62148.70456716819,1964.2798338711373,0.0,0.0,2124.4271515740757,1681.87743999151,62148.70456716819,0.0
2,2025-02-05,87707.84351097321,62673.96978647104,87707.84351097321,0.0,0.0,0.0,62654.90287497104,2241.2608321571906,0.0,0.0,1681.87743999151,2117.0694937962967,62654.90287497104,0.0
2,2025-02-06,86113.90781636111,61750.65694685999,86113.90781636111,0.0,0.0,0.0,61904.23532285999,2013.609103189316,0.0,0.0,2117.0694937962967,1867.544377870372,61904.23532285999,0.0
2,2025-02-07,38538.580897427986,16272.071388301538,38538.580897427986,0.0,0.0,0.0,16268.506768551537,3265.525400617291,0.0,0.0,1867.544377870372,1581.0325263835146,16268.506768551537,0.0
2,2025-02-08,37176.819700549175,15639.908305510104,37176.819700549175,0.0,0.0,0.0,15571.731895260105,1914.4638270195403,0.0,0.0,1581.0325263835146,1574.5778611111107,15571.731895260105,0.0
2,2025-02-09,83933.42540715843,59008.1897558432,83933.42540715843,0.0,0.0,0.0,58969.29166350987,137.0893000000001,0.0,0.0,1574.5778611111107,1379.7231419722343,58969.29166350987,0.0
2,2025-02-10,81977.77402758435,55949.066197684224,81977.77402758435,0.0,0.0,0.0,55926.82236826755,3795.487692489719,0.0,0.0,1379.7231419722343,1272.0967088603345,55926.82236826755,0.0
2,2025-02-11,82082.03185178069,56624.733190691164,82082.03185178069,0.0,89.50669108333604,414.5790987487626,57109.12478518993,2684.673481172843,0.0,0.0,1272.0967088603345,1318.1765344730225,56694.54568644117,0.0
2,2025-02-12,83199.64800273726,57083.666138399276,83199.64800273726,0.0,0.0,0.0,57034.286849565935,3487.515768153789,0.0,0.0,1318.1765344730225,1615.392411591218,57034.286849565935,0.0
2,2025-02-13,82205.59486204202,56190.96816483543,82205.59486204202,0.0,0.0,0.0,56314.78034833544,7163.415076646099,0.0,0.0,1615.392411591218,1786.0840312749965,56314.78034833544,0.0
2,2025-02-14,35971.69216337519,15066.900403418034,35971.69216337519,0.0,2.6178383933361227,9.895946405377185,15069.155999656745,3189.005638700908,0.0,0.0,1786.0840312749965,1252.6019248148145,15059.260053251368,0.0
2,2025-02-15,35118.48938138272,15057.92133850861,35118.48938138272,0.0,363.28829266666366,1402.0983313277382,16343.533644503013,2721.4083666666684,0.0,0.0,1252.6019248148145,1200.0,14941.435313175276,0.0
2,2025-02-16,80131.30455740739,54898.20475420605,80131.30455740739,0.0,82.89353098373897,270.65093601326384,55174.877624143766,585.9474678860001,0.0,0.0,1200.0,1200.0,54904.226688130504,0.0
2,2025-02-17,78525.3356084792,53328.42189577225,78525.3356084792,0.0,7.349845118312089,15.875665455554113,53309.168952386695,3420.0727446216797,0.0,0.0,1200.0,1284.3945255395483,53293.29328693114,0.0
2,2025-02-18,78251.31589986128,52632.69634502649,78251.31589986128,0.0,0.0,0.0,52701.3163237765,2166.7889147303167,0.0,0.0,1284.3945255395483,1400.2549300925912,52701.3163237765,0.0
2,2025-02-19,77419.25672598009,51810.13493020072,77419.25672598009,0.0,604.5851450466535,2921.3012128528617,54702.43791022025,1239.3610083333328,0.0,0.0,1400.2549300925912,1200.0,51781.13669736739,0.0
2,2025-02-20,78511.94997753394,53511.75740475243,78511.94997753394,0.0,45.034166666666856,98.66985916666708,53722.612937752434,3512.778149382722,0.0,0.0,1200.0,1446.0452896296233,53623.94307858577,0.0
2,2025-02-21,34504.34901552058,14725.39900197381,34504.34901552058,0.0,39.241473083332856,177.45931347124787,14900.913917445057,5422.659986018514,0.0,0.0,1446.0452896296233,1573.3578889685193,14723.454603973809,0.0
2,2025-02-22,33515.19590731892,14281.018821454923,33515.19590731892,0.0,635.2875907499983,2791.047284900824,16979.434415522417,3133.0900083333304,0.0,0.0,1573.3578889685193,1391.1614559259228,14188.387130621591,0.0
2,2025-02-23,75751.35159734568,50604.40612532782,75751.35159734568,0.0,123.8785023800018,583.1725489464924,51172.127224107644,129.33408333333307,0.0,0.0,1391.1614559259228,1316.0022374074078,50588.95467516115,0.0
2,2025-02-24,74263.80187434464,49143.30552747073,74263.80187434464,0.0,23.669891666666672,120.94131147083337,49230.010703608226,1922.6664156378617,0.0,0.0,1316.0022374074078,1431.2535610516693,49109.06939213739,0.0
2,2025-02-25,74610.39116787983,48938.58916815122,74610.39116787983,0.0,11.218333333333362,58.39703416666681,49065.29956265122,5237.756061563786,0.0,0.0,1431.2535610516693,1301.650347222222,49006.902528484556,0.0
2,2025-02-26,73778.77917368518,48790.612797197726,73778.77917368518,0.0,0.0,0.0,48755.79061136439,855.9492082242733,0.0,0.0,1301.650347222222,1458.181085561113,48755.79061136439,0.0
2,2025-02-27,72638.19504222323,47062.35720110359,72638.19504222323,0.0,29.00872208333398,136.49752519104487,47303.61108754463,1346.1327089763504,0.0,0.0,1458.181085561113,1529.4239888888899,47167.11356235359,0.0
2,2025-02-28,33046.53133765456,13686.115107190399,33046.53133765456,0.0,35.97367475000071,174.45433570012844,13858.026864973861,6606.127408690333,0.0,0.0,1529.4239888888899,1433.8973454629672,13683.572529273733,0.0
2,2025-03-01,32695.203669582952,13418.033896728886,32695.203669582952,0.0,68.67144791666644,269.9802686521657,13586.794202047718,6101.459197325107,0.0,0.0,1433.8973454629672,1246.64344465706,13316.813933395553,0.0
2,2025-03-02,72520.86599267188,47370.96214138146,72520.86599267188,0.0,3938.150076919766,24436.662081195238,71803.45942241003,375.85959537037303,0.0,0.0,1246.64344465706,1320.0306331481484,47366.7973412148,0.0
2,2025-03-03,68975.52886308196,44390.39136681378,68975.52886308196,0.0,6812.979889299818,41734.759125399054,86142.18127721283,327.44875401234685,0.0,0.0,1320.0306331481484,1311.706141203704,44407.42215181378,0.0
2,2025-03-04,70593.38737398546,45799.527589534104,70593.38737398546,0.0,2396.7378826027516,14889.085877051724,60673.989867085824,14.001716666666653,0.0,0.0,1311.706141203704,1200.0,45784.9039900341,0.0
2,2025-03-05,71994.73745663992,46128.23263025007,71994.73745663992,0.0,41.047500000000014,89.85297750000004,46196.89346900007,1582.9102563333367,0.0,0.0,1200.0,1470.3676845370392,46107.04049150007,0.0
2,2025-03-06,70345.53371318142,45196.76401956747,70345.53371318142,0.0,513.5126925000014,3435.696478635009,48755.249970702476,1044.8363181069985,0.0,0.0,1470.3676845370392,1339.2613869684506,45319.55349206747,0.0
2,2025-03-07,32055.11383672949,13259.195805865798,32055.11383672949,0.0,0.0,0.0,13250.572015647323,7861.469074382714,0.0,0.0,1339.2613869684506,1558.18757867222,13250.572015647323,0.0
2,2025-03-08,31473.454794959645,13098.873408561289,31473.454794959645,0.0,0.0,0.0,13005.56566619643,9167.21570198971,0.0,0.0,1558.18757867222,1777.1559966206712,13005.56566619643,0.0
2,2025-03-09,74751.86961884069,47762.08056936157,74751.86961884069,0.0,0.0,0.0,47779.91707719491,7799.864332304527,0.0,0.0,1777.1559966206712,1568.3904805269776,47779.91707719491,0.0
2,2025-03-10,71367.2144332159,46806.23151938776,71367.2144332159,0.0,616.9985441543304,3499.342099422814,50239.160252310576,132.4417750000007,0.0,0.0,1568.3904805269776,1288.3401895592604,46739.81815288776,0.0
2,2025-03-11,70355.49491496898,45179.51840506692,70355.49491496898,0.0,0.0,0.0,45253.845693483585,1918.1553361915112,0.0,0.0,1288.3401895592604,1757.34096908042,45253.845693483585,0.0
2,2025-03-12,70118.09787896863,44543.128699810404,70118.09787896863,0.0,65.84792291666645,431.86360244895695,44952.785869842686,4340.685235601799,0.0,0.0,1757.34096908042,1259.7278741666676,44520.92226739373,0.0
2,2025-03-13,68961.34927451223,44343.34313428274,68961.34927451223,0.0,2421.9292994968346,15362.233970840025,59798.58236512276,60.53418333333343,0.0,0.0,1259.7278741666676,1223.8938954629632,44436.34839428274,0.0
2,2025-03-14,30879.891511676953,12464.590471311249,30879.891511676953,0.0,0.0,0.0,12442.036984644583,11331.52288168724,0.0,0.0,1223.8938954629632,1703.6401328143081,12442.036984644583,0.0
2,2025-03-15,29909.04442871147,12630.789314918402,29909.04442871147,0.0,419.70347574999863,1298.736598903954,13824.601472489023,6847.52012698868,0.0,0.0,1703.6401328143081,1453.4864061374058,12525.86487358507,0.0
2,2025-03-16,70846.50077554074,44842.38224610773,70846.50077554074,0.0,1.6400000000001,8.081100000000493,44880.10042235774,3100.7530996913574,0.0,0.0,1453.4864061374058,1772.2719147240769,44872.01932235774,0.0
2,2025-03-17,69716.75595370472,43086.78120125247,69716.75595370472,0.0,0.0,0.0,43089.25379885206,7968.668282407413,0.0,0.0,1772.2719147240769,1949.8802379870372,43089.25379885206,0.0
2,2025-03-18,67535.22198974692,42115.76721511882,67535.22198974692,0.0,304.48455774666576,1475.370686686322,43606.33350220555,2916.469700818934,0.0,0.0,1949.8802379870372,1728.60199314815,42130.962815519226,0.0
2,2025-03-19,66674.0816062274,41257.30771568923,66674.0816062274,0.0,258.00696041666794,1302.1960789218817,42516.07549702778,3071.0974756522996,0.0,0.0,1728.60199314815,2037.003004907411,41213.8794181059,0.0
2,2025-03-20,66498.20414898764,41976.469458223735,66498.20414898764,0.0,0.0,0.0,42121.223143723735,899.0619333333334,0.0,0.0,2037.003004907411,1442.6373479185752,42121.223143723735,0.0
2,2025-03-21,28962.481532520145,11529.242078292116,28962.481532520145,0.0,410.05396283333107,1250.9698684602427,12768.849139585693,14493.912962181395,0.0,0.0,1442.6373479185752,1453.9199994444475,11517.87927112545,0.0
2,2025-03-22,28765.32751530041,11693.502934002765,28765.32751530041,0.0,455.8458255441669,1544.6010251964535,13164.956339365886,10197.264699999998,0.0,0.0,1453.9199994444475,1838.3308025120389,11620.355314169432,0.0
2,2025-03-23,65763.13262046708,40338.147042091296,65763.13262046708,0.0,333.0276550833346,1714.304590945715,42014.857441370346,3589.2223054526753,0.0,0.0,1838.3308025120389,1634.6379649074083,40300.55285042463,0.0
2,2025-03-24,66128.39670771605,40778.794307235745,66128.39670771605,0.0,0.0,0.0,40749.22691915241,3886.6395702674863,0.0,0.0,1634.6379649074083,1844.0285119444484,40749.22691915241,0.0
2,2025-03-25,63428.555117567885,39069.791525434404,63428.555117567885,0.0,1284.292773416665,7121.042023801989,46224.15413506972,391.5516166666665,0.0,0.0,1844.0285119444484,1297.0316541666664,39103.112111267736,0.0
