hour,price_mean,emergency_kwh_42,emergency_kwh_43,charge_kwh_42,charge_kwh_43,discharge_kwh_42,discharge_kwh_43,curtail_kwh_42,curtail_kwh_43,net_load_kwh
0,0.4276,2798.920127632901,106.18459499886896,752563.5656055426,207873.01969095087,11726.006574978725,26191.68918127905,5526.392295528654,25473.424249301337,3449.2066666666665
1,0.42849999999999994,1800.7897836713887,52.05975501349148,581713.4611121152,56450.21325517274,8155.622646081079,23689.52218396299,3910.065066692593,1167.366056742213,3479.6851333333334
2,0.43109999999999987,1319.8439551041672,480.42922569225084,342875.4841815746,59461.38380295133,8267.705705647782,38504.96237834807,1398.3050619855921,1795.1342289146926,3515.3851166666664
3,0.4356999999999998,56.67131672916153,477.3332304024227,184379.8229333677,58179.139721757616,12402.286504749722,51576.5382324995,1411.8125490997845,2284.7655732121925,3542.829266666666
4,0.43780000000000013,41.11872447356392,516.6996658638817,332272.4943013097,202769.09640557203,10513.929031785307,98808.8134231692,6967.310551110209,3684.0059529060227,3569.40245
5,0.4394999999999999,0.0,249.38898962105935,522858.0505750358,318067.1789149187,56019.47709688496,138291.98245662125,65730.66615684537,28307.782221273286,3568.267666666666
6,0.9099000000000002,1013.2712766054858,114.26724912523548,2616.033036758151,3596.458799821349,890549.962160158,896700.3698697598,2565.8454440549126,370.30990973176836,3452.611133333334
7,0.8333999999999998,5355.827522475565,343.08553632783793,62571.338474711534,88015.61297510951,290076.98665500735,265766.71244469704,5867.425346778623,676.0919364271592,2244.976183333333
8,1.1617,16111.979357143937,3154.4380048162043,100722.85086666667,100722.85086666667,602566.9327696849,616507.8305972685,0.0,0.0,1503.7783666666664
9,1.0359999999999998,30038.996097766398,4671.711956900679,210726.621828103,208882.96975058192,178410.36544931296,206803.46302690502,423.3286584177997,0.0,44.39436666666674
10,0.9976999999999999,12035.207897432552,3815.9029553930372,439030.62494218117,451575.97806511057,50888.02171368089,56574.944208862085,20712.88949624259,5919.614633412904,-1107.608883333333
11,0.5024999999999997,487.415183333333,44.664166666666915,1067845.891456779,1111965.567785017,160.99847098765008,5.873352605535388,219294.5479099239,146706.6735582731,-1764.5556500000002
12,0.4431999999999999,0.0,0.0,899984.5256670271,1028666.6634716096,251.72690416666651,0.0,539723.4387888487,311659.9341293436,-1949.8021333333331
13,0.8278999999999997,0.0,0.0,128107.7128048495,206972.5257488301,18591.923540957705,21244.242240225663,409766.6875775651,318922.2173577354,-1113.4775999999997
14,0.9754000000000002,0.0,0.0,24517.330687105707,34156.043355874506,150527.11026717734,152096.1458136705,250082.68633227263,239781.4360758426,45.49680000000018
15,0.6693999999999998,0.0,0.0,228742.81826664944,242609.33493521524,19652.483999671567,13000.807800771912,232542.3296809501,119945.75435611824,1632.8429999999998
16,0.8055000000000001,19.88272040788044,0.0,21792.605157184855,18374.503687585984,30548.451156615803,28477.032390604778,79191.38034864285,27475.242434537624,3384.4931499999993
17,0.9263999999999999,762.5286872427992,0.0,16023.161742567456,14718.301393748821,31631.001490265164,41230.43982929027,60658.676827833915,21223.989569479083,4441.536099999999
18,1.2313000000000003,859.163389513031,16.51470000000006,4769.687909871601,10590.996696611073,433394.24339284934,501714.9253127693,8460.86857535494,3221.583711421837,4113.883016666667
19,1.3466000000000002,30183.006692426647,151.28173913593469,89.76764166666655,328.9473519245863,1205304.3551581022,1182791.7360937602,0.0,0.0,4259.7463333333335
20,1.3481999999999998,147638.01962328464,17521.90691914488,5813.350070442017,3769.440235220846,901985.92997534,999901.8996462268,0.0,0.0,4292.74215
21,0.9332,13088.349312413487,9771.6035162031,54899.172409065264,34473.4097544581,13719.74304433675,15827.085981386836,0.0,0.0,4127.9464
22,0.42089999999999994,3919.467280436657,82.85304872000842,94714.35712412973,1118740.6697632116,12886.93288441627,3162.8536458480944,0.0,2105.704678895203,3381.7612333333336
23,0.4237000000000001,5307.614526922265,121.12712579579289,39725.41314846855,1066758.4229020022,19009.928355637487,4329.5055603598275,0.0,6222.583207582733,3426.4321666666665
