variant,lam,lam_over_baseline,total_cost_yuan,delta_vs_baseline_yuan,delta_pct,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,soc_end_delivery_kwh,at_min,at_max
2,0.0,0.0,15235300.17471436,33185.04721758887,0.21829230300700608,287298.32400903216,6146678.052644699,4979255.320864399,1933192.6340122253,1276.0017997916666,1873,6483
2,0.167085,0.5,15221646.490043184,19531.362546412274,0.12847792812122893,280848.7696864097,6129510.201094695,4965381.890023924,1924820.083665907,1276.001799791666,1734,6378
2,0.2506275,0.75,15213070.925300837,10955.797804065049,0.07206758870184071,277175.84286961664,6123564.428998829,4960646.280877289,1920581.7056977476,1276.9551993102075,1653,6342
2,0.33417,1.0,15202115.127496772,0.0,0.0,272838.07347501605,6119356.141943168,4957242.124948501,1914234.6566681466,1296.5827944164375,1521,6305
2,0.501255,1.5,15161569.029053675,-40546.0984430965,-0.266713533630325,259838.0661636121,6380774.11547479,5170611.842974406,1916873.479437017,7471.751897381018,1196,6923
2,0.66834,2.0,15238575.050824106,36459.923327334225,0.2398345429011295,256058.09269320228,6653996.046236048,5390675.530040909,2008415.5502455202,9219.675884212034,1123,7517
2,1.00251,3.0,15294969.38787401,92854.26037723757,0.6107982974637993,257718.83823267353,6734760.405213066,5455649.9454569705,2106346.9516365873,9928.466039467596,1142,8123
3,0.0,0.0,13884270.761849105,36475.821787741035,0.26340527098807076,60475.293786433525,6339896.607545023,5135619.601254149,1222146.6752876358,1200.0,1178,4321
3,0.239,0.5,13871612.652065793,23817.71200442873,0.17199642331158227,52124.51356484669,6329424.468707625,5127174.145494939,1221847.2316833066,1206.4264852090141,984,4306
3,0.3585,0.75,13856306.936946807,8511.996885443106,0.061468247632823214,46745.37448627148,6321850.944642419,5121048.022341263,1222456.3704480587,1259.346347001319,819,4299
3,0.478,1.0,13847794.940061364,0.0,0.0,41691.452379821334,6647718.729329925,5383199.375670889,1266943.6138411527,9668.195438027007,642,4886
3,0.717,1.5,13960577.681020841,112782.74095947668,0.8144454871526152,43154.492119541304,7129862.184347843,5775560.330604472,1371911.5009201998,9869.47447645306,632,5417
3,0.956,2.0,13967568.05284796,119773.11278659478,0.8649255228360797,43181.547019266596,7138908.832545847,5782855.1989915045,1388418.1657981174,9906.048535727672,633,5473
3,1.434,3.0,13972333.436825188,124538.49676382355,0.8993381061957795,42722.54146249449,7140934.676107219,5784508.987201742,1398599.55220527,9906.048535727672,622,5491
