variant,month,days,plan_kwh,contract_kwh,plan_cost,adjust_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh
2,2025-02,28,1911840.8239405495,1911840.8239405495,1235965.830775237,0.0,2093.553698005375,9175.04040381746,1245140.8711790538,91617.48848288023
2,2025-03,31,1766886.7777831093,1766886.7777831093,1053794.7326930256,0.0,21034.98907251182,122616.84860271632,1176411.5812957422,149405.0818959989
2,2025-04,30,1486725.9923400641,1486725.9923400641,852187.1663984463,0.0,19029.68157751199,118036.27731004814,970223.4437084944,187652.12342174785
2,2025-05,31,1477804.6918395488,1477804.6918395488,874536.0810567634,0.0,17734.010033725415,95035.08641287565,969571.167469639,211044.57666351472
2,2025-06,30,1946562.0172779101,1946562.0172779101,1285386.2780095716,0.0,62627.67525719279,388227.0288819006,1673613.3068914718,162957.17322879826
2,2025-07,31,2189627.5790465553,2189627.5790465553,1582255.8838122783,0.0,33644.23790813025,232436.96436300565,1814692.848175284,176180.42386902528
2,2025-08,31,1905656.6928003612,1905656.6928003612,1334829.0383754247,0.0,22411.470123561518,163844.0000267607,1498673.0384021862,245177.49180303325
2,2025-09,30,1669429.292733686,1669429.292733686,1048206.3579148691,0.0,36536.86034448963,216782.20761514152,1264988.5655300107,217723.15565191334
2,2025-10,31,1749406.999532173,1749406.999532173,1061283.2817181633,0.0,22935.299679662,134210.7722576069,1195494.0539757702,185237.81854044675
2,2025-11,30,2017363.8057750897,2017363.8057750897,1295837.8568617546,0.0,8329.828132382341,51278.371086987696,1347116.2279487427,124376.17619669365
2,2025-12,31,2621334.4895854276,2621334.4895854276,1865493.3507811748,0.0,26460.4676478427,180696.67213920015,2046190.0229203752,162863.14691409597
3,2025-02,28,1872707.2365968288,1868915.4684883535,1165788.010272461,44710.349640291955,3616.9535770110897,19031.670817436854,1229530.03073019,39958.71189084492
3,2025-03,31,1752699.949955433,1768359.588003844,1016623.8399371807,56260.01217062128,2480.751915362019,12873.301856801585,1085757.153964604,119778.54408959147
3,2025-04,30,1457172.877540793,1494842.0003098904,822453.6353723991,48119.12115262907,775.3785296825547,3835.0432572531845,874407.7997822813,159607.72828009553
3,2025-05,31,1444337.2737867676,1473559.3822394914,828058.3440566848,62406.23400610784,11183.803549504968,65442.827818929734,955907.4058817221,186364.1988945504
3,2025-06,30,1885307.1264218073,1916603.1409152364,1208258.8464640311,108517.28243780331,4311.728732531072,23586.095178210297,1340362.224080045,73608.42804126954
3,2025-07,31,2100148.6865419806,2146125.8191277976,1463196.9022406535,169150.30771522963,2948.5190578623387,11944.312058937245,1644291.5220148202,100829.51342285087
3,2025-08,31,1799075.513063346,1864212.0348477603,1253838.588540587,87539.78769709714,3066.5464687807475,17779.35525570799,1359157.7314933923,181825.3757423535
3,2025-09,30,1603617.1990474667,1655856.2050435583,982293.8368359249,114679.25298934546,4899.427191892411,26379.78690888945,1123352.87673416,163557.95441096066
3,2025-10,31,1760821.4890507818,1750394.9020585797,1027982.3939030799,53848.27380468695,3923.9187900488732,20807.701041382716,1102638.3687491494,154113.8557507227
3,2025-11,30,1953897.9941824684,1960093.7315569674,1227072.6170617738,35129.8949031332,1367.2809817078887,7594.676094761311,1269797.1880596685,48935.49631679507
3,2025-12,31,2510675.6592018967,2530665.342584827,1744514.25635416,98124.71913974649,3117.1435854373867,19953.663077428097,1862592.6385713348,38363.807001116154
