slot,label,slot_start_hhmm,mean,p10,p50,p90,min,max,shape,annex1_price
0,0:10-0:20,0:10,0.4248183561643839,0.32817999999999997,0.4278,0.51588,0.2543,0.6069,0.554450123036737,0.4248
1,0:20-0:30,0:20,0.4245104109589038,0.331,0.4238,0.5103200000000001,0.2369,0.5905,0.5540482094786493,0.4245
2,0:30-0:40,0:30,0.4269364383561641,0.33402,0.4276,0.50852,0.2643,0.6302,0.5572145302587734,0.4269
3,0:40-0:50,0:40,0.42724273972602766,0.33449999999999996,0.4298,0.5154600000000001,0.2747,0.617,0.5576142983708214,0.4272
4,0:50-1:00,0:50,0.42708684931506863,0.33376,0.4285,0.51396,0.2893,0.5989,0.5574108385713983,0.4271
5,1:00-1:10,1:00,0.4285232876712329,0.34368,0.4338,0.50876,0.2653,0.613,0.5592856008356771,0.4285
6,1:10-1:20,1:10,0.43110657534246577,0.34412,0.4362,0.51806,0.252,0.6458,0.5626571692869239,0.4311
7,1:20-1:30,1:20,0.430155616438356,0.34318,0.4359,0.5123800000000001,0.2648,0.5903,0.5614160287530094,0.4302
8,1:30-1:40,1:30,0.4279389041095892,0.35134,0.4332,0.50302,0.2717,0.5887,0.5585228947685961,0.4279
9,1:40-1:50,1:40,0.43124493150684917,0.34518,0.4326,0.51176,0.2803,0.6039,0.5628377443285909,0.4312
10,1:50-2:00,1:50,0.4332564383561646,0.35128,0.4373,0.50644,0.2695,0.6082,0.5654630551323939,0.4333
11,2:00-2:10,2:00,0.43109698630136994,0.34464,0.4383,0.50674,0.2537,0.6028,0.5626446541850263,0.4311
12,2:10-2:20,2:10,0.4293443835616438,0.33748,0.4352,0.5072599999999999,0.263,0.5782,0.5603572511324622,0.4293
13,2:20-2:30,2:20,0.4323580821917808,0.33738,0.4391,0.50956,0.2464,0.5963,0.5642905688717468,0.4324
14,2:30-2:40,2:30,0.4366802739726028,0.35774,0.4405,0.51018,0.2314,0.6131,0.5699316616585609,0.4367
15,2:40-2:50,2:40,0.4348071232876713,0.35324,0.4405,0.5055000000000001,0.2588,0.5786,0.5674869258964256,0.4348
16,2:50-3:00,2:50,0.4335205479452056,0.34578,0.4399,0.50548,0.2797,0.5925,0.5658077567960911,0.4335
17,3:00-3:10,3:00,0.4357235616438355,0.3465,0.4429,0.50454,0.2622,0.588,0.5686830120635078,0.4357
18,3:10-3:20,3:10,0.4374183561643841,0.3533,0.4439,0.50676,0.282,0.5919,0.5708949669303464,0.4374
19,3:20-3:30,3:20,0.43707972602739764,0.34964,0.4417,0.50696,0.2882,0.5717,0.5704530050461865,0.4371
20,3:30-3:40,3:30,0.43564246575342475,0.3589,0.4412,0.5103599999999999,0.2466,0.5719,0.5685771700588873,0.4356
21,3:40-3:50,3:40,0.43526904109589054,0.35186,0.4418,0.50598,0.2902,0.5899,0.5680897962335559,0.4353
22,3:50-4:00,3:50,0.4360191780821916,0.35150000000000003,0.4416,0.5018,0.3021,0.5657,0.5690688347762975,0.436
23,4:00-4:10,4:00,0.43782547945205463,0.35362,0.442,0.5140399999999999,0.2919,0.5849,0.5714263223994888,0.4378
24,4:10-4:20,4:10,0.44011835616438344,0.35874,0.4463,0.512,0.2941,0.5815,0.5744188620504045,0.4401
25,4:20-4:30,4:20,0.43885315068493197,0.35148,0.4464,0.50574,0.2996,0.5749,0.5727675837485856,0.4389
26,4:30-4:40,4:30,0.4363734246575341,0.3427,0.4444,0.50468,0.272,0.5728,0.5695311783978334,0.4364
27,4:40-4:50,4:40,0.4392841095890411,0.34806,0.4482,0.51286,0.292,0.5881,0.5733300481853028,0.4393
28,4:50-5:00,4:50,0.44224082191780845,0.36064,0.4488,0.5122200000000001,0.2848,0.5909,0.5771889904618811,0.4422
29,5:00-5:10,5:00,0.4395035616438354,0.35626,0.4468,0.5092800000000001,0.2925,0.5822,0.5736164652315904,0.4395
30,5:10-5:20,5:10,0.43325643835616445,0.34718,0.4386,0.50762,0.2785,0.5628,0.5654630551323937,0.4333
31,5:20-5:30,5:20,0.4438547945205478,0.35624,0.4512,0.5183000000000001,0.2774,0.5636,0.5792954608984375,0.4439
32,5:30-5:40,5:30,0.43008438356164375,0.34832,0.4356,0.5034,0.26,0.6005,0.5613230594246265,0.4301
33,5:40-5:50,5:40,0.3712602739726028,0.2912,0.3744,0.43856,0.2269,0.5007,0.4845489880458703,0.3713
34,5:50-6:00,5:50,0.5708342465753425,0.45886,0.5815,0.6599200000000001,0.3734,0.7143,0.7450222280997955,0.5708
35,6:00-6:10,6:00,0.9098520547945209,0.73614,0.9364,1.0386199999999999,0.6538,1.0933,1.1874900799504198,0.9099
36,6:10-6:20,6:10,0.9368282191780817,0.74812,0.9609,1.07056,0.6631,1.1569,1.222697922183435,0.9368
37,6:20-6:30,6:20,0.8758098630136987,0.68894,0.8892,1.0245,0.5483,1.1031,1.1430600379161402,0.8758
38,6:30-6:40,6:30,0.8758632876712334,0.6990000000000001,0.8784,1.03864,0.5624,1.1245,1.1431297649124283,0.8759
39,6:40-6:50,6:40,0.8601454794520551,0.6547200000000001,0.8574,1.0387199999999999,0.5289,1.1401,1.122615725030359,0.8601
40,6:50-7:00,6:50,0.8441986301369867,0.63704,0.8409,1.0311000000000001,0.5411,1.1269,1.1018027530001047,0.8442
41,7:00-7:10,7:00,0.8334449315068491,0.6613800000000001,0.8242,1.01436,0.526,1.0953,1.0877676025833165,0.8334
42,7:10-7:20,7:10,0.8091994520547947,0.63842,0.7974,0.9989,0.499,1.1035,1.0561237037964324,0.8092
43,7:20-7:30,7:20,0.7971865753424656,0.6066,0.7873,0.99074,0.4755,1.1031,1.0404451417133036,0.7972
44,7:30-7:40,7:30,0.7644364383561639,0.5863200000000001,0.7507,0.95278,0.473,1.0684,0.9977014202661575,0.7644
45,7:40-7:50,7:40,0.6898906849315065,0.52804,0.6803,0.8703200000000001,0.4258,0.9785,0.9004083029645733,0.6899
46,7:50-8:00,7:50,0.859966301369863,0.6442399999999999,0.8629,1.07128,0.5332,1.1622,1.122381871412041,0.86
47,8:00-8:10,8:00,1.1616821917808227,0.85392,1.1859,1.4047800000000001,0.7473,1.541,1.5161652617318409,1.1617
48,8:10-8:20,8:10,1.1682860273972613,0.8574,1.1959,1.4196,0.7594,1.5469,1.5247842336216335,1.1683
49,8:20-8:30,8:20,1.0956000000000006,0.7938000000000001,1.1236,1.34162,0.6545,1.4735,1.4299183309395271,1.0956
50,8:30-8:40,8:30,1.0849008219178087,0.78054,1.111,1.33682,0.6554,1.419,1.4159543378163868,1.0849
51,8:40-8:50,8:40,1.061024383561644,0.75566,1.0908,1.3048,0.6419,1.3972,1.3847920916653942,1.061
52,8:50-9:00,8:50,1.04302602739726,0.7623,1.0653,1.27456,0.6459,1.3717,1.361301602977706,1.043
53,9:00-9:10,9:00,1.0359882191780814,0.78412,1.0482,1.2553,0.6528,1.3766,1.352116233333456,1.036
54,9:10-9:20,9:10,1.0146780821917802,0.77258,1.0281,1.23292,0.6318,1.3481,1.324303386024635,1.0147
55,9:20-9:30,9:20,0.9922032876712326,0.74236,1.0035,1.22092,0.5946,1.3104,1.2949704901967503,0.9922
56,9:30-9:40,9:30,0.9700057534246568,0.72002,0.9722,1.20254,0.5802,1.3031,1.265999459600879,0.97
57,9:40-9:50,9:40,0.9422043835616432,0.69596,0.9478,1.1633200000000001,0.5511,1.2752,1.2297146034559785,0.9422
58,9:50-10:00,9:50,0.9569432876712325,0.70134,0.9661,1.23132,0.5601,1.3318,1.2489510302214601,0.9569
59,10:00-10:10,10:00,0.9976506849315073,0.71584,0.9784,1.36118,0.5098,1.4993,1.3020801407976783,0.9977
60,10:10-10:20,10:10,0.9919515068493151,0.68598,0.9741,1.3572199999999999,0.5015,1.4966,1.2946418793783505,0.9919
61,10:20-10:30,10:20,0.9587800000000003,0.66984,0.9463,1.31436,0.5036,1.4275,1.2513482085963852,0.9588
62,10:30-10:40,10:30,0.9548854794520544,0.6688999999999999,0.9284,1.30922,0.5131,1.4258,1.2462652893542088,0.9549
63,10:40-10:50,10:40,0.9839383561643831,0.6879799999999999,0.9578,1.35672,0.5348,1.4627,1.284183545083932,0.9839
64,10:50-11:00,10:50,0.7990120547945208,0.52596,0.7989,1.1153600000000001,0.3334,1.241,1.0428276595402908,0.799
65,11:00-11:10,11:00,0.5025016438356162,0.24387999999999999,0.5163,0.7205800000000001,0.0489,0.8645,0.6558381816792559,0.5025
66,11:10-11:20,11:10,0.4662402739726027,0.21358,0.4796,0.67772,0.0506,0.7785,0.6085117874915038,0.4662
67,11:20-11:30,11:20,0.5006649315068495,0.24982,0.5186,0.70852,0.1016,0.8229,0.6534410033043324,0.5007
68,11:30-11:40,11:30,0.4827397260273969,0.23571999999999999,0.497,0.6959000000000002,0.0776,0.802,0.6300459869654067,0.4827
69,11:40-11:50,11:40,0.47846082191780787,0.2178,0.4867,0.6935,0.04,0.7991,0.6244613909243025,0.4785
70,11:50-12:00,11:50,0.4661709589041096,0.23034,0.4715,0.6751400000000001,0.034,0.7757,0.6084213211835003,0.4662
71,12:00-12:10,12:00,0.44319095890410976,0.2205,0.4454,0.64092,0.0076,0.7706,0.5784290582727756,0.4432
72,12:10-12:20,12:10,0.4411427397260278,0.21223999999999998,0.4468,0.64392,0.0376,0.8026,0.575755832507422,0.4411
73,12:20-12:30,12:20,0.45507616438356163,0.22071999999999997,0.4672,0.66304,0.085,0.8183,0.5939409907134939,0.4551
74,12:30-12:40,12:30,0.4462936986301371,0.2112,0.4596,0.64618,0.0987,0.7799,0.582478587672539,0.4463
75,12:40-12:50,12:40,0.4113410958904111,0.1868,0.4176,0.60038,0.0224,0.7267,0.536860326106656,0.4113
76,12:50-13:00,12:50,0.5682405479452054,0.33362,0.585,0.7651600000000002,0.1533,0.903,0.7416370718236309,0.5682
77,13:00-13:10,13:00,0.8278586301369855,0.56802,0.8522,1.02908,0.4046,1.1525,1.0804766617920418,0.8279
78,13:10-13:20,13:10,0.863595342465753,0.61572,0.8878,1.05936,0.4606,1.1717,1.127118301118819,0.8636
79,13:20-13:30,13:20,0.841567123287671,0.6052,0.8595,1.04212,0.4443,1.1437,1.0983682514650286,0.8416
80,13:30-13:40,13:30,0.8617860273972603,0.6242000000000001,0.8828,1.05408,0.4637,1.1705,1.124756880177889,0.8618
