bin_lo,bin_hi,count_42,count_43
1200.0,1400.0,3767,1931
1400.0,1600.0,2038,1212
1600.0,1800.0,1392,1241
1800.0,2000.0,1014,1104
2000.0,2200.0,893,1040
2200.0,2400.0,862,997
2400.0,2600.0,812,914
2600.0,2800.0,767,926
2800.0,3000.0,852,812
3000.0,3200.0,807,809
3200.0,3400.0,817,806
3400.0,3600.0,818,745
3600.0,3800.0,835,705
3800.0,4000.0,819,622
4000.0,4200.0,711,667
4200.0,4400.0,697,584
4400.0,4600.0,639,540
4600.0,4800.0,677,547
4800.0,5000.0,707,581
5000.0,5200.0,679,545
5200.0,5400.0,679,522
5400.0,5600.0,625,568
5600.0,5800.0,685,498
5800.0,6000.0,605,494
6000.0,6200.0,572,510
6200.0,6400.0,589,542
6400.0,6600.0,537,467
6600.0,6800.0,572,508
6800.0,7000.0,547,467
7000.0,7200.0,619,519
7200.0,7400.0,612,452
7400.0,7600.0,556,485
7600.0,7800.0,515,538
7800.0,8000.0,608,481
8000.0,8200.0,621,468
8200.0,8400.0,680,537
8400.0,8600.0,628,606
8600.0,8800.0,654,566
8800.0,9000.0,699,589
9000.0,9200.0,814,816
9200.0,9400.0,712,711
9400.0,9600.0,744,746
9600.0,9800.0,1111,969
9800.0,10000.0,1218,1368
10000.0,10200.0,867,1307
10200.0,10400.0,907,1794
10400.0,10600.0,1081,2949
10600.0,10800.0,8436,10291
