项目,4-2（对应问题2）,4-3（对应问题3）,单位
【口径与设置】,,,
统计口径（共用）,"自然日 00:00–24:00（交付期 334 天 / 48,096 个 10 分钟时段）",,
模型字符串（共用）,q4_fluctuating_price_two_stage_saa,同左（靠 meta.variant 区分）,
交付期（共用）,2025-02-01 00:00 – 2026-01-01 00:00,同左,
变体枚举,只在 0:00 决策一次，q≡x，无调整机制,0:00 计划 + 6/12/18 三次滚动调整,
启用阶段,{0:00},"{0:00, 6:00, 12:00, 18:00}",
情景数 K,7 或 14（逐日由第二问 choose_window 选定）,30,个
电价预测器,形态 × 水平（无日内修正）,形态 × 水平 + 日内 AR(1) 修正（φ=0.85）,
终端储能价值,0.33417（= η·min附件1 价，同第二问）,0.478（常数，同第三问）,元/kWh
结算电价（共用）,附件4 实际电价（预测值只参与决策）,同左,
计划口径（共用）,模板行 00:10→次日 00:10（表1 用）,同左,
物理/费用口径（共用）,自然日 00:00–24:00（表2/表3 与总费用用）,同左,
,,,
【交付期结果】,,,
自然日总费用,"15,202,115.1275","13,847,794.9401",元
　计划购电费（自然日）,"13,489,775.8584","12,740,081.2710",元
　调整相关费用（自然日）,0.0000,"878,485.2357",元
　紧急购电费,"1,712,339.2691","229,228.4334",元
计划购电量（模板行）,"20,742,639.1627","20,140,461.0054",kWh
最终合同购电量（模板行）,"20,742,639.1627","20,429,627.6152",kWh
计划购电量（自然日）,"20,742,464.3918","20,139,555.9637",kWh
最终合同购电量（自然日）,"20,742,464.3918","20,428,725.3068",kWh
紧急购电量,"272,838.0735","41,691.4524",kWh
紧急购电量占比,1.2983,0.2066,%
紧急购电费占比,11.2638,1.6553,%
充电量（母线侧）,"6,119,356.1419","6,647,718.7293",kWh
放电量（母线侧）,"4,957,242.1249","5,383,199.3757",kWh
弃电量,"1,914,234.6567","1,266,943.6138",kWh
累计上调量,0.0000,"590,930.9216",kWh
累计下调量,0.0000,"301,761.5785",kWh
净上调量,0.0000,"289,169.3430",kWh
储能等效循环次数（/9600 kWh）,516.3794,560.7499,次
含紧急购电的日期数,170,146,天
无紧急购电的日期数,164,188,天
出现紧急购电的时段数,"1,545",676,个
SOC 贴上界（≥10800）时段数,"6,305","4,874",个
SOC 贴下界（≤1200）时段数,"1,490",640,个
单日总费用区间,"9,569.0812 – 131,820.3592","9,677.4918 – 79,510.9835",元
全年回测耗时,125.5,388.7,秒
,,,
【变体间对照】,,,
4-3 相对 4-2 节省,"1,354,320.1874",,元
　节省率（以 4-2 为基准）,-8.9088,（以 4-3 为基准则为 +9.78%）,%
紧急购电量降幅,-84.72,,%
,,,
【与第三问对照 + 完美预见拆分】,,,
第三问自然日总费用（确定性电价）,"13,162,682.8855",,元
完美预见电价下的总费用,"13,730,479.2448",,元
(a) 价格波动风险成本,"567,796.3593",4.3137 % of 第三问,元
(b) 预测误差信息缺失成本,"117,315.6952",0.8913 % of 第三问,元
(a)+(b) 合计差额,"685,112.0546",5.2050 %,元
恒等式残差,0.000e+00,,元
　其中期末存量转移：(a),-928.3480,0.1635 % of (a),元
　其中期末存量转移：(b),"-1,288.4079",1.0982 % of (b),元
　加回后纯效率差：(a),"568,724.7074",,元
　加回后纯效率差：(b),"118,604.1031",,元
,,,
【稳健性与证据】,,,
"λ 敏感性极差（基准×{0,0.5,0.75,1,1.5,2,3}）","133,400.3588","124,538.4968",元
　极差占比,0.8775,0.8993,%
λ 费用是否单调,False,False,—
求解器 highs-ds 与主答案之差,0.0000（逐位相同）,0.0000（逐位相同）,元
求解器 highs-ipm 与主答案之差,未测,-1.863e-09,元
独立复算检查项数 / 失败项数,27 / 0,31 / 0,项
独立复算总费用偏差,0.000e+00,0.000e+00,元
LP 跨算法最大相对目标偏差,未测,1.011e-08,—
"解向量不同的 (LP,算法) 对数占比",未测,44.6,%
,,,
【数据来源】,,,
汇总/明细（共用）,"outputs/q4/summary_q4-{2,3}_K30.json、payload_q4-{2,3}_K30.json、detail_q4-{2,3}_K30.npz",,
引用契约（共用）,reports/q4_paper_handoff.md（**与本地数字冲突时以它为准**）,,
