表,变体,日期,时间段/项目,值1,值2,单位,口径,来源
表1,4-2,2025-03-20,10:00-10:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-03-20,12:00-12:10,763.0131,763.0131,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-03-20,14:00-14:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-03-20,16:00-16:10,443.3742,443.3742,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-03-20,18:00-18:10,668.6583,668.6583,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-03-20,20:00-20:10,673.3100,673.3100,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-03-20,全天购电量,66498.2041,66498.2041,kWh,模板行 00:10→次日00:10,payload
表1,4-2,2025-03-20,全天购电费/元（模板行口径）,41976.4695,0.0000,元,模板行 00:10→次日00:10,"payload（4-2 为 PMAT·x 全额、无 min；4-3 为 p·min(x,q)）"
表1,4-2,2025-03-20,全天购电费/元（自然日口径）,42121.2231,0.0000,元,自然日 00:00–24:00,summary daily
表2,4-2,2025-03-20,0:00-4:00,7855.8217,174.0655,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-03-20,4:00-8:00,2023.4361,4665.7023,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-03-20,8:00-12:00,3758.4954,3265.5568,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-03-20,12:00-16:00,6405.1282,294.0908,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-03-20,16:00-20:00,132.5176,6355.2062,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-03-20,20:00-24:00,487.1553,2516.9765,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-2,2025-03-20,0:00 储电量,2037.0030,,kWh,自然日 00:00–24:00,payload/summary
表2,4-2,2025-03-20,24:00 储电量,1442.6373,,kWh,自然日 00:00–24:00,payload/summary
表3,4-2,2025-03-20,（当日无紧急购电）,0.0000,0.0000,kWh,自然日 00:00–24:00,payload
表3,4-2,2025-03-20,当日紧急购电费/元,0.0000,,元,自然日 00:00–24:00,summary daily
—,4-2,2025-03-20,当日总费用/元,42121.2231,,元,自然日 00:00–24:00,summary daily
表1,4-2,2025-06-21,10:00-10:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-06-21,12:00-12:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-06-21,14:00-14:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-06-21,16:00-16:10,301.1593,301.1593,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-2,2025-06-21,18:00-18:10,466.3118,466.3118,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
