question,metric,roundtrip90,oneway90_roundtrip81,delta_roundtrip90_minus_81,delta_percent_vs_81
q1,total_purchase_cost_yuan,33801.47764894513,35126.84858928963,-1325.3709403444955,-3.7730994768161707
q1,total_purchase_kwh,57526.24348088351,59482.69899835391,-1956.4555174704,-3.2891169204083055
q1,planned_purchase_kwh,57526.24348088351,59482.69899835391,-1956.4555174704,-3.2891169204083055
q1,charge_kwh,19842.710475501775,20740.66613168725,-897.9556561854733,-4.329444630582966
q1,discharge_kwh,17858.4394279516,16799.939566666668,1058.4998612849304,6.300617077130063
q1,curtail_kwh,0.0,0.0,0.0,
q1,emergency_purchase_kwh,0.0,0.0,0.0,
q1,adjustment_cost_yuan,0.0,0.0,0.0,
q2,total_purchase_cost_yuan,14059525.430939956,14455427.634039497,-395902.20309954137,-2.7387789079810743
q2,total_purchase_kwh,20492147.47685582,21023444.107740413,-531296.6308845952,-2.5271626673623016
q2,planned_purchase_kwh,20216512.576172378,20755750.908379737,-539238.3322073594,-2.5980189037133425
q2,charge_kwh,6150850.889718457,6171586.855676625,-20735.9659581678,-0.3359908309334553
q2,discharge_kwh,5536341.436394028,4999520.940541623,536820.4958524052,10.737438691360872
q2,curtail_kwh,1938684.2318980657,1912424.4009720748,26259.830925990827,1.3731173327762969
q2,emergency_purchase_kwh,275634.90068344073,267693.19936067454,7941.7013227661955,2.966717623657671
q2,adjustment_cost_yuan,0.0,0.0,0.0,
q3,total_purchase_cost_yuan,12747796.006942447,13162682.885500712,-414886.87855826505,-3.1519932689047887
q3,total_purchase_kwh,20008245.22104361,20512558.46515013,-504313.24410651997,-2.458558472670898
q3,planned_purchase_kwh,19965301.136104725,20473820.71731741,-508519.5812126845,-2.4837551731737224
q3,charge_kwh,7006454.531401903,6921852.87919573,84601.65220617317,1.2222399649731255
q3,discharge_kwh,6306293.413813923,5607033.812995429,699259.6008184934,12.47111439203057
q3,curtail_kwh,1369130.3118222887,1258785.6073165124,110344.70450577629,8.765964900171513
q3,emergency_purchase_kwh,42944.084938883134,38737.747832720306,4206.337106162828,10.85849679317158
q3,adjustment_cost_yuan,813711.5450469069,833624.8961012338,-19913.351054326864,-2.3887663561224333
q4-2,total_purchase_cost_yuan,14792797.07986417,15202115.127496775,-409318.04763260484,-2.6925072215263794
q4-2,total_purchase_kwh,20495137.825555284,21015302.465296168,-520164.6397408843,-2.4751708456248176
q4-2,planned_purchase_kwh,20215050.369611263,20742464.391821153,-527414.0222098902,-2.5426777274249623
q4-2,charge_kwh,6148970.513340799,6119356.141943168,29614.371397631243,0.4839458712763752
q4-2,discharge_kwh,5534718.291062557,4957242.124948501,577476.1661140565,11.649141832467095
q4-2,curtail_kwh,1941931.8116437143,1914234.6566681466,27697.15497556771,1.4469048963817457
q4-2,emergency_purchase_kwh,280087.4559440217,272838.07347501605,7249.38246900565,2.657027436337429
q4-2,adjustment_cost_yuan,0.0,0.0,0.0,
q4-3,total_purchase_cost_yuan,13407228.827111794,13847794.940061372,-440566.1129495781,-3.181489290219267
q4-3,total_purchase_kwh,19959082.63796247,20470416.759133503,-511334.12117103115,-2.4979174932668813
q4-3,planned_purchase_kwh,19914846.174114496,20428725.30675368,-513879.1326391846,-2.515473309875568
q4-3,charge_kwh,6759404.753869871,6647718.729329925,111686.02453994565,1.6800654342847527
q4-3,discharge_kwh,6083891.598313864,5383199.375670889,700692.2226429749,13.016278494341481
q4-3,curtail_kwh,1344615.6907731236,1266943.6138411527,77672.07693197089,6.130665649474539
q4-3,emergency_purchase_kwh,44236.46384797647,41691.452379821334,2545.011468155135,6.104396280008035
q4-3,adjustment_cost_yuan,855281.1748830815,878485.2356566917,-23204.060773610254,-2.641371742151658
