date,published_plan_kwh,published_plan_cost_yuan,natural_plan_kwh,natural_plan_cost_yuan,emergency_kwh,emergency_cost_yuan,natural_total_cost_yuan,surplus_kwh,soc_start_kwh,soc_end_kwh,forecast_mae_kwh,weekday_weight,residual_window_days,scenario_count
2025-02-01,44795.00634018473,23490.582968074,44632.55300685139,23421.11792274066,0.0,0.0,23421.11792274066,6444.617039878257,1903.9513453806594,2320.330558619444,63.074157175925926,1.0,14,14
2025-02-02,91601.17478067554,58592.47784487134,91593.4714473422,58589.183899538,0.0,0.0,58589.183899538,9356.334112886454,2320.330558619444,2237.6452682121617,79.39423969907408,1.0,14,14
2025-02-03,90034.75454226116,57438.02462198067,90059.89870892782,57448.77626764734,0.0,0.0,57448.77626764734,6016.09459500719,2237.6452682121617,2075.635179323278,56.19433015046296,1.0,14,14
2025-02-04,87310.57168332783,55353.42944294412,87292.58334999447,55345.737631610784,0.0,0.0,55345.737631610784,1953.8392483617135,2075.635179323278,1668.012347704817,51.16093564814816,1.0,7,7
2025-02-05,87857.62289859627,55547.78756495852,87851.48539859627,55545.16316995853,0.0,0.0,55545.16316995853,2407.630140387642,1668.012347704817,1922.749895925924,54.97572418981482,1.0,7,7
2025-02-06,86140.18047433128,54842.13726349815,86306.76297433127,54913.36794049815,0.0,0.0,54913.36794049815,1745.528771502065,1922.749895925924,1812.6067990740742,59.92548275462962,1.0,7,7
2025-02-07,38523.42148569958,20090.901082197735,38531.57148569959,20094.386022197737,0.0,0.0,20094.386022197737,3233.8458639917735,1812.6067990740742,1539.9521848148152,71.26048177083334,1.0,7,7
2025-02-08,37079.71909964862,19323.33676698999,36925.29659964862,19257.305705989987,0.0,0.0,19257.305705989987,1908.3128238238576,1539.9521848148152,1465.2970353703668,61.83316284722221,1.0,7,7
2025-02-09,84049.71073638798,52997.84285905305,84071.15740305465,53007.013453719715,0.0,0.0,53007.013453719715,158.6375029835392,1465.2970353703668,1339.3030998174836,57.88701440972222,1.0,7,7
2025-02-10,82162.16901407522,51639.01882933489,82169.43984740855,51642.12783766822,0.0,0.0,51642.12783766822,3870.344838888885,1339.3030998174836,1236.8105037425692,78.81461406249998,1.0,7,7
2025-02-11,82217.71400813787,51708.291942137104,82216.2223414712,51707.65410547044,124.44978743311476,532.5573320319679,52240.21143750241,2745.11561970989,1236.8105037425692,1298.6416278703703,71.23345920138888,1.0,7,7
2025-02-12,83364.94530905329,52448.68354066656,83343.38864238662,52439.4659099999,0.0,0.0,52439.4659099999,3694.766803183279,1298.6416278703703,1557.9367346296278,72.38720393518518,1.0,14,14
2025-02-13,82275.75636740468,52030.12177274788,82437.57303407133,52099.31457941454,0.0,0.0,52099.31457941454,7205.371482259256,1557.9367346296278,1738.12919808796,101.1830470486111,1.0,14,14
2025-02-14,35996.67261370983,18704.78802884982,35991.23344704316,18702.46224118315,0.4012064146643297,1.9801542595757995,18704.442395442726,3181.678669828024,1738.12919808796,1224.50661787037,66.03930630787038,1.0,14,14
2025-02-15,35144.68780452524,18225.52553534466,35017.0310427644,18170.93950401573,402.90350943107154,1898.7619222554586,20069.70142627119,2759.7883240740753,1224.50661787037,1200.0,53.69829791666667,1.0,14,14
