date,plan_total_kwh,plan_cost_yuan,adjusted_total_kwh,adjusted_settlement_yuan,natural_settlement_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,weekday_weight
2025-02-01,44576.66005172934,23854.20458844745,41262.32337332491,22810.015917649253,22742.237754315916,0.0,0.0,22742.237754315916,1761.4037084748597,2199.230029543162,1.0
2025-02-02,90174.18712718507,57566.5045371982,85799.25763601388,56041.143364631804,56040.00737396514,0.0,0.0,56040.00737396514,2199.230029543162,2266.495431638088,1.0
2025-02-03,92476.81327844663,59106.56754359408,85956.26116780454,56743.34810116972,56753.90057317946,0.0,0.0,56753.90057317946,2266.495431638088,2082.867492269387,1.0
2025-02-04,94791.28402421072,61032.64483050128,88006.81304526678,58488.430934913515,58480.272666570454,0.0,0.0,58480.272666570454,2082.867492269387,2150.1452598492974,1.0
2025-02-05,89397.2320017372,57058.57240693297,87323.33080806289,56229.121405321835,56232.22685032184,0.0,0.0,56232.22685032184,2150.1452598492974,2141.4075999216743,1.0
2025-02-06,95305.35904537598,61238.8264853889,86366.66449217955,57870.75015610836,57933.57564244169,1.0223416666668754,5.972008845834552,57939.547651287525,2141.4075999216743,2064.315198122845,1.0
2025-02-07,44912.14197421615,23662.195661964175,39989.65609976371,22199.658404421127,22205.81655708779,0.0,0.0,22205.81655708779,2064.315198122845,1712.3716604629615,1.0
2025-02-08,35769.392874982506,18431.574666926324,36739.82880833025,19596.231427610906,19529.499102610906,0.0,0.0,19529.499102610906,1712.3716604629615,1647.2283901351864,1.0
2025-02-09,84072.80151227646,53085.8087445931,85314.00587589672,55635.57012378417,55627.20216995084,0.0,0.0,55627.20216995084,1647.2283901351864,1531.780814537034,1.0
2025-02-10,81494.01209341023,50968.7897300657,79371.10670127133,50531.048606756354,50537.80896275636,17.20456666666678,78.27217605000051,50616.08113880636,1531.780814537034,1354.990029439196,1.0
2025-02-11,87559.43292546927,55396.34632292233,81657.87397129697,53087.16947408526,53087.105155918594,0.0,0.0,53087.105155918594,1354.990029439196,1703.6593960002272,1.0
2025-02-12,86753.75197692876,54797.209104023874,80457.08923639363,52586.469768003466,52586.44268667013,87.84815072016539,441.9175628201689,53028.3602494903,1703.6593960002272,1396.1099985185178,1.0
2025-02-13,81920.50018912733,50918.565635424486,77767.5633621462,49502.530108314735,49566.36437431473,0.0,0.0,49566.36437431473,1396.1099985185178,1625.79722780594,1.0
2025-02-14,36244.64727863812,18692.633093094853,36193.212047638124,18998.598651902517,19006.457939902517,32.55693409250182,157.32058077375058,19163.778520676267,1625.79722780594,1224.5066178703694,1.0
2025-02-15,34948.9704457819,18255.60510623476,35048.491418515434,18561.254124836592,18500.388828169926,394.6238729166685,1754.6546307384824,20255.043458908407,1224.5066178703694,1203.9533025,1.0
2025-02-16,81241.6831942469,51319.15245749171,79580.04890946056,51570.79922903599,51560.501908369326,167.38074771916783,605.5964756518697,52166.0983840212,1203.9533025,1200.0,1.0
2025-02-17,81046.3995060199,50657.79783967872,75153.63372248338,49145.512956247716,49150.59141891438,88.40926458527517,477.0584934256582,49627.649912340035,1200.0,1202.37888,1.0
2025-02-18,71883.09828284358,45074.661121300946,76336.16626530401,49532.77292049387,49542.682906827205,4.020279222222964,22.976660085448614,49565.659566912655,1202.37888,1338.497915410342,1.0
2025-02-19,71994.98447877412,45278.86024639377,76994.75215073164,49944.59518122733,49942.65850956066,361.10424063138515,1210.4048576120567,51153.06336717271,1338.497915410342,1200.0,1.0
2025-02-20,77195.49511534606,48062.52604361372,76584.20500279732,48227.87741048689,48288.71170615357,26.695000000000068,57.07391000000014,48345.78561615357,1200.0,1323.093334444447,1.0
2025-02-21,34084.940003432916,17500.40945420448,34569.80953931069,18081.879938492006,18085.302876492005,0.0,0.0,18085.302876492005,1323.093334444447,1396.2061220679043,1.0
2025-02-22,33797.74650485151,17648.826069467657,34235.66761788243,18262.648741786306,18202.327566119642,100.6598456944427,573.3711236490869,18775.698689768727,1396.2061220679043,1372.8670174851416,1.0
2025-02-23,77680.47260358161,47983.17956380852,75930.23192988957,48357.412311508655,48343.488942841985,191.59119893583318,943.2440457623597,49286.732988604344,1372.8670174851416,1292.4388178703707,1.0
2025-02-24,73352.71609752833,46091.98483479781,73071.36981923805,46081.776768092495,46079.66513675916,66.98984219444353,288.26112875762067,46367.926265516784,1292.4388178703707,1374.1577910185188,1.0
2025-02-25,75843.25405038695,47220.778334894996,70551.0014470343,45574.17207556161,45589.38750889495,33.752685337503095,139.61867940407978,45729.00618829903,1374.1577910185188,1220.9041688888885,1.0
2025-02-26,69225.66311979757,42684.56840023171,73617.99395438934,46784.665905691174,46780.16541569117,59.25668525000192,285.30071273775906,47065.466128428925,1220.9041688888885,1489.7004830714554,1.0
2025-02-27,70385.21230682652,43798.930752566535,71821.12198470993,45237.233892738295,45301.92300240496,22.395197083328867,110.53149520476963,45412.45449760973,1489.7004830714554,1485.217643888889,1.0
2025-02-28,33042.809125026746,17161.93841966299,33054.876388713645,17293.376005255523,17287.76232992219,0.0,0.0,17287.76232992219,1485.217643888889,1425.1440239814851,1.0
2025-03-01,35543.90189905021,18427.15976391724,34460.22348624382,18085.165908463834,18023.966727463834,0.0,0.0,18023.966727463834,1425.1440239814851,1324.436107639994,1.0
2025-03-02,80400.34979237593,50022.088964784394,77844.11552880445,49844.99343956688,49838.98708490022,198.05933755555512,973.9965844052274,50812.983669305446,1324.436107639994,1289.428595648148,1.0
2025-03-03,83033.1537192752,51680.058907325874,77597.43273138304,50397.3242332833,50393.50006394998,75.55794233333435,353.2156494236715,50746.71571337365,1289.428595648148,1302.194851759259,1.0
2025-03-04,73692.4074972596,45653.04454464879,73959.30116087402,46394.05443322841,46410.57547189508,4.311539448946256,9.20729249322473,46419.7827643883,1302.194851759259,1200.0,1.0
2025-03-05,77591.22026067696,48171.14624061713,70933.29775557389,46824.736743825255,46817.11976249192,29.14999999999992,62.32269999999983,46879.44246249192,1200.0,1405.9534135185174,1.0
2025-03-06,72436.13257769821,44695.26095209735,71108.90478174316,44252.83260651725,44318.29781018392,0.0,0.0,44318.29781018392,1405.9534135185174,1390.232612308342,1.0
2025-03-07,33735.8976153827,17843.53120025398,32496.907687256848,17320.28004133161,17313.15052399828,0.0,0.0,17313.15052399828,1390.232612308342,1423.4815353699878,1.0
2025-03-08,31754.321642665724,16453.724007870427,31753.129768054612,16458.320436861824,16406.88051319516,0.0,0.0,16406.88051319516,1423.4815353699878,1526.1730053395058,1.0
2025-03-09,75455.47110050858,46535.59669624335,68323.33621555899,44219.18120103972,44205.56321003972,0.0,0.0,44205.56321003972,1526.1730053395058,1527.198867451848,1.0
2025-03-10,72263.6144685295,44189.11835074062,72151.11602621949,44308.21699354631,44310.03215554631,0.0,0.0,44310.03215554631,1527.198867451848,1438.2700371666724,1.0
2025-03-11,63826.17571487723,39446.355359572684,68762.98366007065,43089.15581055754,43100.600524557536,0.0,0.0,43100.600524557536,1438.2700371666724,1619.9214306642075,1.0
2025-03-12,73352.66621281307,45254.33832749553,66596.32826295095,43163.44546251581,43149.727698182476,0.0,0.0,43149.727698182476,1619.9214306642075,1394.4976114101883,1.0
