policy,date,time_start,price_yuan_per_kwh,initial_plan_kwh,final_contract_kwh,adjustment_fee_yuan,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,actual_net_kwh,emergency_kwh,surplus_kwh
6+12+18_frozen0,2025-02-01,00:00,0.4276,466.76416666666665,466.76416666666665,0.0,-0.0,0.0,1200.0,1200.0,423.96000000000004,0.0,42.80416666666662
6+12+18_frozen0,2025-02-01,00:10,0.4248,1282.9043416666666,1282.9043416666666,0.0,833.3333333333333,0.0,1200.0,1950.0,422.0303666666667,0.0,27.54064166666666
6+12+18_frozen0,2025-02-01,00:20,0.4245,1275.4859583333334,1275.4859583333334,0.0,833.3333333333333,0.0,1950.0,2700.0,415.4073166666667,0.0,26.74530833333347
6+12+18_frozen0,2025-02-01,00:30,0.4269,1305.0658333333333,1305.0658333333333,0.0,833.3333333333333,0.0,2700.0,3450.0,410.7166666666667,0.0,61.015833333333376
6+12+18_frozen0,2025-02-01,00:40,0.4272,1313.9163583333332,1313.9163583333332,0.0,833.3333333333333,0.0,3450.0,4200.0,430.29479999999995,0.0,50.288224999999954
6+12+18_frozen0,2025-02-01,00:50,0.4271,1331.6732666666667,1331.6732666666667,0.0,833.3333333333333,0.0,4200.0,4950.0,424.4105833333333,0.0,73.92935000000011
6+12+18_frozen0,2025-02-01,01:00,0.4285,1330.7716666666665,1330.7716666666665,0.0,833.3333333333333,0.0,4950.0,5700.0,406.0516666666666,0.0,91.38666666666666
6+12+18_frozen0,2025-02-01,01:10,0.4311,1167.5112,1167.5112,0.0,666.6666666666666,0.0,5700.0,6300.0,436.7501833333333,0.0,64.09434999999996
6+12+18_frozen0,2025-02-01,01:20,0.4302,1318.1285249999999,1318.1285249999999,0.0,833.3333333333333,0.0,6300.0,7050.0,451.7976833333333,0.0,32.997508333333315
6+12+18_frozen0,2025-02-01,01:30,0.4279,1324.1366666666665,1324.1366666666665,0.0,833.3333333333333,0.0,7050.0,7800.0,446.08,0.0,44.7233333333333
6+12+18_frozen0,2025-02-01,01:40,0.4312,497.4093583333333,497.4093583333333,0.0,0.0,0.0,7800.0,7800.0,471.7663333333333,0.0,25.643024999999966
6+12+18_frozen0,2025-02-01,01:50,0.4333,511.48474166666665,511.48474166666665,0.0,0.0,0.0,7800.0,7800.0,448.02596666666665,0.0,63.458775
6+12+18_frozen0,2025-02-01,02:00,0.4311,1359.8641666666665,1359.8641666666665,0.0,833.3333333333333,0.0,7800.0,8550.0,397.4033333333333,0.0,129.12749999999994
6+12+18_frozen0,2025-02-01,02:10,0.4293,1343.1068083333332,1343.1068083333332,0.0,833.3333333333333,0.0,8550.0,9300.0,434.0906333333333,0.0,75.68284166666666
6+12+18_frozen0,2025-02-01,02:20,0.4324,523.3204083333334,523.3204083333334,0.0,0.0,0.0,9300.0,9300.0,490.5609166666666,0.0,32.75949166666675
6+12+18_frozen0,2025-02-01,02:30,0.4367,526.4441666666667,526.4441666666667,0.0,0.0,0.0,9300.0,9300.0,503.22,0.0,23.224166666666633
6+12+18_frozen0,2025-02-01,02:40,0.4348,513.2366833333333,513.2366833333333,0.0,0.0,0.0,9300.0,9300.0,474.07281666666665,0.0,39.16386666666665
6+12+18_frozen0,2025-02-01,02:50,0.4335,528.0237333333333,528.0237333333333,0.0,0.0,0.0,9300.0,9300.0,461.38439999999997,0.0,66.63933333333335
6+12+18_frozen0,2025-02-01,03:00,0.4357,533.88,533.88,0.0,0.0,0.0,9300.0,9300.0,476.94166666666666,0.0,56.93833333333333
6+12+18_frozen0,2025-02-01,03:10,0.4374,522.2515499999998,522.2515499999998,0.0,0.0,0.0,9300.0,9300.0,483.39955,0.0,38.85199999999986
6+12+18_frozen0,2025-02-01,03:20,0.4371,527.68405,527.68405,0.0,0.0,0.0,9300.0,9300.0,486.6019166666666,0.0,41.08213333333333
