policy,date,plan_cost_yuan,adjustment_fee_yuan,settlement_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
6+12+18,2025-02-01,26156.650241350933,0.0,26088.8720780176,33.141909111111005,169.72059841511012,26258.592676432712,1199.9999999999989,1200.0000000000005
6+12+18,2025-02-02,60215.27215427648,0.0,60214.136163609815,12.155558333333374,77.88253267083368,60292.01869628065,1200.0000000000005,1200.2028644444445
6+12+18,2025-02-03,61846.492419847214,0.0,61859.62686651388,55.629705555555745,265.5490793569456,62125.175945870826,1200.2028644444445,1202.9505000000017
6+12+18,2025-02-04,63602.069480316655,0.0,63594.46425798333,84.34564166666667,244.4673256624999,63838.93158364583,1202.9505000000017,1200.000000000001
6+12+18,2025-02-05,59287.01610306976,51.95727556458337,59342.69634930102,65.00163055555555,290.2024687166669,59632.89881801769,1200.000000000001,1203.2359725000001
6+12+18,2025-02-06,63404.036486695,0.0,63466.861973028324,44.13711944444424,220.85299374722123,63687.714966775544,1203.2359725000001,1201.097467500001
6+12+18,2025-02-07,25762.61791450435,0.0,25768.77606717102,87.1216833333309,445.3934664124829,26214.169533583503,1201.097467500001,1216.4746944444455
6+12+18,2025-02-08,19564.420254488145,1257.2241352792103,20764.11401676736,397.38299444444334,1823.9031727569377,22588.017189524297,1216.4746944444455,1203.1524149999998
6+12+18,2025-02-09,54628.05327750838,2360.4250446912374,56987.01058519962,285.72934166666664,966.1387359583323,57953.14932115795,1203.1524149999998,1212.541666666668
6+12+18,2025-02-10,52282.76995621345,2697.2167338224167,54983.0956983692,365.00383055555335,1571.7871204541543,56554.88281882335,1212.541666666668,1200.005555555558
6+12+18,2025-02-11,56532.75677640633,0.0,56526.38696173966,109.71236944444294,453.6227246763883,56980.00968641605,1200.005555555558,1221.7593825000047
6+12+18,2025-02-12,55910.93589290277,0.0,55913.22034590277,163.37702366255144,697.9345006388891,56611.15484654166,1221.7593825000047,1201.656390000001
6+12+18,2025-02-13,51846.19270780638,6.057659135000199,51911.25809794138,117.22893429355145,330.83455419841687,52242.0926521398,1201.656390000001,1210.35617638889
6+12+18,2025-02-14,20146.48208566975,458.041371501634,20609.70953250472,309.33431388888806,1267.1602280124976,21876.869760517216,1210.35617638889,1199.999999999999
6+12+18,2025-02-15,19923.012985379384,0.0,19869.689127379384,548.0843491388885,2085.5693046752194,21955.258432054605,1199.999999999999,1202.7166666666665
6+12+18,2025-02-16,53710.26954595272,0.0,53699.330468952714,844.8936676954718,3325.9285823844593,57025.259051337176,1202.7166666666665,1199.9999999999995
6+12+18,2025-02-17,53349.81070724351,171.6727459287499,53524.33518883893,370.7730444444418,1521.7104054541496,55046.04559429308,1199.9999999999995,1200.0000000000005
